email,id,idLegislatura,nome,siglaPartido,siglaUf,uri,uriPartido,urlFoto
dep.acaciofavacho@camara.leg.br,204379,57,Acácio Favacho,MDB,AP,https://dadosabertos.camara.leg.br/api/v2/deputados/204379,https://dadosabertos.camara.leg.br/api/v2/partidos/36899,https://www.camara.leg.br/internet/deputado/bandep/204379.jpg
dep.adailfilho@camara.leg.br,220714,57,Adail Filho,MDB,AM,https://dadosabertos.camara.leg.br/api/v2/deputados/220714,https://dadosabertos.camara.leg.br/api/v2/partidos/36899,https://www.camara.leg.br/internet/deputado/bandep/220714.jpg
dep.adilsonbarroso@camara.leg.br,221328,57,Adilson Barroso,PL,SP,https://dadosabertos.camara.leg.br/api/v2/deputados/221328,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,https://www.camara.leg.br/internet/deputado/bandep/221328.jpg
dep.adolfoviana@camara.leg.br,204560,57,Adolfo Viana,PSDB,BA,https://dadosabertos.camara.leg.br/api/v2/deputados/204560,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,https://www.camara.leg.br/internet/deputado/bandep/204560.jpg
dep.adrianaventura@camara.leg.br,204528,57,Adriana Ventura,NOVO,SP,https://dadosabertos.camara.leg.br/api/v2/deputados/204528,https://dadosabertos.camara.leg.br/api/v2/partidos/37901,https://www.camara.leg.br/internet/deputado/bandep/204528.jpg
dep.adrianodobaldy@camara.leg.br,121948,57,Adriano do Baldy,PP,GO,https://dadosabertos.camara.leg.br/api/v2/deputados/121948,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,https://www.camara.leg.br/internet/deputado/bandep/121948.jpg
dep.aecioneves@camara.leg.br,74646,57,Aécio Neves,PSDB,MG,https://dadosabertos.camara.leg.br/api/v2/deputados/74646,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,https://www.camara.leg.br/internet/deputado/bandep/74646.jpg
dep.afonsoflorence@camara.leg.br,160508,57,Afonso Florence,PT,BA,https://dadosabertos.camara.leg.br/api/v2/deputados/160508,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,https://www.camara.leg.br/internet/deputado/bandep/160508.jpg
dep.afonsohamm@camara.leg.br,136811,57,Afonso Hamm,PP,RS,https://dadosabertos.camara.leg.br/api/v2/deputados/136811,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,https://www.camara.leg.br/internet/deputado/bandep/136811.jpg
dep.afonsomotta@camara.leg.br,178835,57,Afonso Motta,PDT,RS,https://dadosabertos.camara.leg.br/api/v2/deputados/178835,https://dadosabertos.camara.leg.br/api/v2/partidos/36786,https://www.camara.leg.br/internet/deputado/bandep/178835.jpg
dep.aguinaldoribeiro@camara.leg.br,160527,57,Aguinaldo Ribeiro,PP,PB,https://dadosabertos.camara.leg.br/api/v2/deputados/160527,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,https://www.camara.leg.br/internet/deputado/bandep/160527.jpg
dep.airtonfaleiro@camara.leg.br,204495,57,Airton Faleiro,PT,PA,https://dadosabertos.camara.leg.br/api/v2/deputados/204495,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,https://www.camara.leg.br/internet/deputado/bandep/204495.jpg
dep.ajalbuquerque@camara.leg.br,204549,57,AJ Albuquerque,PP,CE,https://dadosabertos.camara.leg.br/api/v2/deputados/204549,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,https://www.camara.leg.br/internet/deputado/bandep/204549.jpg
dep.albertofraga@camara.leg.br,73579,57,Alberto Fraga,PL,DF,https://dadosabertos.camara.leg.br/api/v2/deputados/73579,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,https://www.camara.leg.br/internet/deputado/bandep/73579.jpg
dep.albuquerque@camara.leg.br,220538,57,Albuquerque,REPUBLICANOS,RR,https://dadosabertos.camara.leg.br/api/v2/deputados/220538,https://dadosabertos.camara.leg.br/api/v2/partidos/37908,https://www.camara.leg.br/internet/deputado/bandep/220538.jpg
dep.alceumoreira@camara.leg.br,160559,57,Alceu Moreira,MDB,RS,https://dadosabertos.camara.leg.br/api/v2/deputados/160559,https://dadosabertos.camara.leg.br/api/v2/partidos/36899,https://www.camara.leg.br/internet/deputado/bandep/160559.jpg
dep.alencarsantana@camara.leg.br,204501,57,Alencar Santana,PT,SP,https://dadosabertos.camara.leg.br/api/v2/deputados/204501,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,https://www.camara.leg.br/internet/deputado/bandep/204501.jpg
dep.alexmanente@camara.leg.br,178972,57,Alex Manente,CIDADANIA,SP,https://dadosabertos.camara.leg.br/api/v2/deputados/178972,https://dadosabertos.camara.leg.br/api/v2/partidos/37905,https://www.camara.leg.br/internet/deputado/bandep/178972.jpg
dep.alexandreguimaraes@camara.leg.br,220542,57,Alexandre Guimarães,MDB,TO,https://dadosabertos.camara.leg.br/api/v2/deputados/220542,https://dadosabertos.camara.leg.br/api/v2/partidos/36899,https://www.camara.leg.br/internet/deputado/bandep/220542.jpg
