id,idLegislatura,titulo,uri
55688,57,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais,https://dadosabertos.camara.leg.br/api/v2/frentes/55688
55699,57,Frente Parlamentar de Acolhimento e Desenvolvimento Integrado,https://dadosabertos.camara.leg.br/api/v2/frentes/55699
55644,57,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira,https://dadosabertos.camara.leg.br/api/v2/frentes/55644
55711,57,Frente Parlamentar Mista do Ambiente de Negócios (FPN),https://dadosabertos.camara.leg.br/api/v2/frentes/55711
55710,57,Frente Parlamentar Mista Brasil - Espanha,https://dadosabertos.camara.leg.br/api/v2/frentes/55710
55708,57,Frente Parlamentar Mista em Defesa da Cannabis Medicinal e do Cânhamo Industrial,https://dadosabertos.camara.leg.br/api/v2/frentes/55708
55712,57,Frente Parlamentar em Defesa do Mutualismo,https://dadosabertos.camara.leg.br/api/v2/frentes/55712
55705,57,Frente Parlamentar em Defesa da Ética na Saúde Suplementar,https://dadosabertos.camara.leg.br/api/v2/frentes/55705
55704,57,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,https://dadosabertos.camara.leg.br/api/v2/frentes/55704
55692,57,Frente Parlamentar em Defesa da Oftalmologia - FPOF,https://dadosabertos.camara.leg.br/api/v2/frentes/55692
55680,57,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,https://dadosabertos.camara.leg.br/api/v2/frentes/55680
55701,57,Frente Parlamentar Brasil - Israel,https://dadosabertos.camara.leg.br/api/v2/frentes/55701
55700,57,Frente Parlamentar Mista pela Integração Sul-Americana,https://dadosabertos.camara.leg.br/api/v2/frentes/55700
55702,57,Frente Parlamentar de Combate à Violência em Ambiente Digital contra Crianças e Adolescentes,https://dadosabertos.camara.leg.br/api/v2/frentes/55702
55695,57,Frente Parlamentar pela Duplicação da BR-290,https://dadosabertos.camara.leg.br/api/v2/frentes/55695
55697,57,Frente Parlamentar Mista em Defesa dos Vereadores e das Câmaras Municipais,https://dadosabertos.camara.leg.br/api/v2/frentes/55697
55686,57,Frente Parlamentar Mista em Defesa da União Nacional dos Legisladores e Legislativos Estaduais,https://dadosabertos.camara.leg.br/api/v2/frentes/55686
55595,57,Frente Parlamentar Mista em Defesa dos Correios,https://dadosabertos.camara.leg.br/api/v2/frentes/55595
55645,57,Frente Parlamentar em Defesa das Trabalhadoras e dos Trabalhadores da Economia Informal,https://dadosabertos.camara.leg.br/api/v2/frentes/55645
55662,57,Frente Parlamentar Mista em Defesa da Pessoa com Epilepsia,https://dadosabertos.camara.leg.br/api/v2/frentes/55662
55687,57,Frente Parlamentar Mista pelo Fortalecimento das Entidades Fechadas de Previdência Complementar (EFPC),https://dadosabertos.camara.leg.br/api/v2/frentes/55687
55671,57,Frente Parlamentar em defesa do Estado Laico e da Liberdade Religiosa,https://dadosabertos.camara.leg.br/api/v2/frentes/55671
55672,57,Frente Parlamentar da Baixada Fluminense do Rio de Janeiro,https://dadosabertos.camara.leg.br/api/v2/frentes/55672
55618,57,Frente Parlamentar por Melhorias da Rodovia Federal BR-153,https://dadosabertos.camara.leg.br/api/v2/frentes/55618
55681,57,Frente Parlamentar em Defesa do Futebol Feminino,https://dadosabertos.camara.leg.br/api/v2/frentes/55681
55606,57,Frente Parlamentar em Defesa da Polícia Penal,https://dadosabertos.camara.leg.br/api/v2/frentes/55606
55649,57,Frente Parlamentar Mista pela Valorização do Serviço Social,https://dadosabertos.camara.leg.br/api/v2/frentes/55649
55670,57,Frente Parlamentar Mista pela Democratização do Crédito e Serviços Financeiros,https://dadosabertos.camara.leg.br/api/v2/frentes/55670
55653,57,Frente Parlamentar Mista dos Correspondentes Bancários,https://dadosabertos.camara.leg.br/api/v2/frentes/55653
55667,57,Frente Parlamentar de Representação dos Importadores e Comércio Internacional,https://dadosabertos.camara.leg.br/api/v2/frentes/55667
55637,57,Frente Parlamentar da Influência Digital (FRENID),https://dadosabertos.camara.leg.br/api/v2/frentes/55637
55605,57,Frente Parlamentar Mista da Energia Limpa,https://dadosabertos.camara.leg.br/api/v2/frentes/55605
55655,57,Frente Parlamentar Brasil - ASEAN,https://dadosabertos.camara.leg.br/api/v2/frentes/55655
55669,57,Frente Parlamentar Mista do Jogo Responsável,https://dadosabertos.camara.leg.br/api/v2/frentes/55669
55656,57,Frente Parlamentar em Defesa da Enfermagem,https://dadosabertos.camara.leg.br/api/v2/frentes/55656
55660,57,Frente Parlamentar de Combate à Ludopatia e de Proteção de Crianças e Adolescentes contra os Riscos das Apostas e Jogos de Azar.,https://dadosabertos.camara.leg.br/api/v2/frentes/55660
55641,57,Frente Parlamentar Conservadora em Defesa da Liberdade,https://dadosabertos.camara.leg.br/api/v2/frentes/55641
55638,57,Frente Parlamentar Mista da Causa QESA,https://dadosabertos.camara.leg.br/api/v2/frentes/55638
