dataHoraFim,dataHoraInicio,descricao,descricaoTipo,id,localCamara,localExterno,orgaos,situacao,uri,urlRegistro
null,2025-01-27T09:00,Visibilidade Trans na Câmara dos Deputados,Reunião Técnica,75378,"{""nome"":""Anexo II, Plenário 01"",""predio"":null,""sala"":null,""andar"":null}",null,"[{""tipoOrgao"":""Órgão da Câmara dos Deputados"",""sigla"":""EVENTOS"",""nomePublicacao"":""Câmara dos Deputados - Outros Eventos"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/orgaos/100950"",""codTipoOrgao"":""12000"",""nomeResumido"":null,""id"":""100950"",""apelido"":""Outros Eventos"",""nome"":""Eventos""}]",Convocada,https://dadosabertos.camara.leg.br/api/v2/eventos/75378,null
2025-02-01T19:37,2025-02-01T16:17,Sessão Preparatória - Eleição,Sessão Preparatória - Eleição,75379,"{""nome"":""Plenário da Câmara dos Deputados"",""predio"":null,""sala"":null,""andar"":null}",null,"[{""tipoOrgao"":""Plenário Virtual"",""sigla"":""PLEN"",""nomePublicacao"":""Plenário"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/orgaos/180"",""codTipoOrgao"":""26"",""nomeResumido"":""Plenário"",""id"":""180"",""apelido"":""Plenário"",""nome"":""Plenário""}]",Encerrada,https://dadosabertos.camara.leg.br/api/v2/eventos/75379,https://www.youtube.com/watch?v=wHwL6_DSRf4
2025-02-03T17:36,2025-02-03T16:30,Destinada a inaugurar a 3ª Sessão Legislativa Ordinária da 57ª Legislatura,Sessão Não Deliberativa Solene,75375,"{""nome"":""Plenário da Câmara dos Deputados"",""predio"":null,""sala"":null,""andar"":null}",null,"[{""tipoOrgao"":""Órgão do Congresso Nacional"",""sigla"":""CN"",""nomePublicacao"":""CN"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/orgaos/111"",""codTipoOrgao"":""81001"",""nomeResumido"":""Congresso Nacional"",""id"":""111"",""apelido"":""CONGRESSO NACIONAL"",""nome"":""CONGRESSO NACIONAL""}]",Encerrada,https://dadosabertos.camara.leg.br/api/v2/eventos/75375,https://www.youtube.com/watch?v=oMq2CJbKP1s
2025-02-04T21:41,2025-02-04T13:55,Sessão Deliberativa Extraordinária (semipresencial),Sessão Deliberativa,75386,"{""nome"":""Plenário da Câmara dos Deputados"",""predio"":null,""sala"":null,""andar"":null}",null,"[{""tipoOrgao"":""Plenário Virtual"",""sigla"":""PLEN"",""nomePublicacao"":""Plenário"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/orgaos/180"",""codTipoOrgao"":""26"",""nomeResumido"":""Plenário"",""id"":""180"",""apelido"":""Plenário"",""nome"":""Plenário""}]",Encerrada,https://dadosabertos.camara.leg.br/api/v2/eventos/75386,https://www.youtube.com/watch?v=-cb-ehYK13M
2025-02-04T17:25,2025-02-04T14:34,"Política Nacional de Prevenção e Controle do Câncer - regulação
 Audiência Pública

Tema: Política Nacional de Prevenção e Controle do Câncer - regulação

Convidados:

JOSÉ BARRETO CAMPELO CARVALHEIRA, Coordenador Geral da Política Nacional de Prevenção e Controle do Câncer - CGCAN/SAES do Ministério da Saúde (confirmado); 

LUCIANA TOLEDO LOPES, Assessora técnica do Conselho Nacional de Secretários de Saúde - Conass (confirmada);

CARMINO ANTONIO DE SOUZA, Representante do Conselho Nacional de Secretarias Municipais de Saúde - Conasems (confirmado);

ANGÉLICA NOGUEIRA, Presidente da Sociedade Brasileira de Oncologia Clínica - SBOC (confirmada);

LUCIANA HOLTZ, Presidente do Instituto Oncoguia (confirmada);

MARLENE OLIVEIRA, Presidente do Instituto Lado a Lado pela Vida (confirmada);

ERICA LOPES DE CAMARGO, Embaixadora do Movimento Nutrindo Vidas (confirmada).

(Requerimento nº 10/2024, do Dep. Weliton Prado)",Audiência Pública,75383,"{""nome"":""Anexo II, Plenário 10"",""predio"":null,""sala"":null,""andar"":null}",null,"[{""tipoOrgao"":""Comissão Especial"",""sigla"":""CECANCER"",""nomePublicacao"":""Comissão Especial sobre Prevenção e Combate ao Câncer, AVC e Doenças do Coração"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/orgaos/539411"",""codTipoOrgao"":""3"",""nomeResumido"":""Combate ao Câncer"",""id"":""539411"",""apelido"":""Prevenção e Combate ao Câncer, AVC e Doenças do Coração"",""nome"":""Comissão Especial destinada a acompanhar as ações de prevenção e combate ao câncer, ao acidente vascular cerebral (AVC) e às doenças do coração.""}]",Encerrada,https://dadosabertos.camara.leg.br/api/v2/eventos/75383,https://www.youtube.com/watch?v=st3syVOghBE
null,2025-02-05T09:00,"Votação de requerimentos
 Deliberação de Requerimentos (estão sujeitos a pauta os requerimentos apresentados até 24h antes do horário da reunião):",Reunião Deliberativa,75382,"{""nome"":""Anexo II, Plenário 09"",""predio"":null,""sala"":null,""andar"":null}",null,"[{""tipoOrgao"":""Comissão Externa"",""sigla"":""CEXMABRU"",""nomePublicacao"":""Comissão Externa sobre fiscalização dos rompimentos de barragens e repactuação"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/orgaos/539407"",""codTipoOrgao"":""5"",""nomeResumido"":""Rompimentos de Barragens"",""id"":""539407"",""apelido"":""Fiscalização dos Rompimentos de Barragens e Repactuação"",""nome"":""Comissão Externa destinada a fiscalizar os rompimentos de barragens, em especial acompanhar a repactuação do acordo de Mariana e a reparação do crime de Brumadinho""}]",Encerrada (Termo),https://dadosabertos.camara.leg.br/api/v2/eventos/75382,null
2025-02-05T20:43,2025-02-05T14:15,Sessão Deliberativa Extraordinária (semipresencial),Sessão Deliberativa,75389,"{""nome"":""Plenário da Câmara dos Deputados"",""predio"":null,""sala"":null,""andar"":null}",null,"[{""tipoOrgao"":""Plenário Virtual"",""sigla"":""PLEN"",""nomePublicacao"":""Plenário"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/orgaos/180"",""codTipoOrgao"":""26"",""nomeResumido"":""Plenário"",""id"":""180"",""apelido"":""Plenário"",""nome"":""Plenário""}]",Encerrada,https://dadosabertos.camara.leg.br/api/v2/eventos/75389,https://www.youtube.com/watch?v=7GgeHbDFXvY
null,2025-02-05T16:00,3ª Reunião da Frente Parlamentar Mista em Apoio ao Acolhimento de Migrantes Transnacionais de Refugiados,Reunião Técnica,75384,"{""nome"":""Anexo II, Plenário 05"",""predio"":null,""sala"":null,""andar"":null}",null,"[{""tipoOrgao"":""Órgão da Câmara dos Deputados"",""sigla"":""EVENTOS"",""nomePublicacao"":""Câmara dos Deputados - Outros Eventos"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/orgaos/100950"",""codTipoOrgao"":""12000"",""nomeResumido"":null,""id"":""100950"",""apelido"":""Outros Eventos"",""nome"":""Eventos""}]",Convocada,https://dadosabertos.camara.leg.br/api/v2/eventos/75384,null
2025-02-06T11:58,2025-02-06T09:33,Sessão Deliberativa Extraordinária (virtual),Sessão Deliberativa,75392,"{""nome"":""Plenário da Câmara dos Deputados"",""predio"":null,""sala"":null,""andar"":null}",null,"[{""tipoOrgao"":""Plenário Virtual"",""sigla"":""PLEN"",""nomePublicacao"":""Plenário"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/orgaos/180"",""codTipoOrgao"":""26"",""nomeResumido"":""Plenário"",""id"":""180"",""apelido"":""Plenário"",""nome"":""Plenário""}]",Encerrada,https://dadosabertos.camara.leg.br/api/v2/eventos/75392,https://www.youtube.com/watch?v=1xN_lk7Zih8
2025-02-11T21:26,2025-02-11T14:02,Sessão Deliberativa Extraordinária Presencial (AM nº 123/2020),Sessão Deliberativa,75395,"{""nome"":""Plenário da Câmara dos Deputados"",""predio"":null,""sala"":null,""andar"":null}",null,"[{""tipoOrgao"":""Plenário Virtual"",""sigla"":""PLEN"",""nomePublicacao"":""Plenário"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/orgaos/180"",""codTipoOrgao"":""26"",""nomeResumido"":""Plenário"",""id"":""180"",""apelido"":""Plenário"",""nome"":""Plenário""}]",Encerrada,https://dadosabertos.camara.leg.br/api/v2/eventos/75395,https://www.youtube.com/watch?v=4VXFIApE-F0
