apelido,codTipoOrgao,id,nome,nomePublicacao,nomeResumido,sigla,tipoOrgao,uri
Mesa Diretora,1,4,Mesa Diretora da Câmara dos Deputados,Mesa Diretora,null,MESA,Comissão Diretora,https://dadosabertos.camara.leg.br/api/v2/orgaos/4
CONGRESSO NACIONAL,81001,111,CONGRESSO NACIONAL,CN,Congresso Nacional,CN,Órgão do Congresso Nacional,https://dadosabertos.camara.leg.br/api/v2/orgaos/111
Plenário,26,180,Plenário,Plenário,Plenário,PLEN,Plenário Virtual,https://dadosabertos.camara.leg.br/api/v2/orgaos/180
COORDENAÇÃO DE COMISSÕES PERMANENTES,12000,186,COORDENAÇÃO DE COMISSÕES PERMANENTES,COORDENAÇÃO DE COMISSÕES PERMANENTES,null,CCP,Órgão da Câmara dos Deputados,https://dadosabertos.camara.leg.br/api/v2/orgaos/186
PODER CONCLUSIVO NAS COMISSÕES,12000,209,PODER CONCLUSIVO NAS COMISSÕES,PODER CONCLUSIVO NAS COMISSÕES,null,PTCOM,Órgão da Câmara dos Deputados,https://dadosabertos.camara.leg.br/api/v2/orgaos/209
PRESIDÊNCIA DA CÂMARA DOS DEPUTADOS,12000,249,PRESIDÊNCIA DA CÂMARA DOS DEPUTADOS,PRESIDÊNCIA DA CÂMARA DOS DEPUTADOS,null,PC,Órgão da Câmara dos Deputados,https://dadosabertos.camara.leg.br/api/v2/orgaos/249
CONSELHO DE MINISTROS,12000,301,CONSELHO DE MINISTROS,CONSELHO DE MINISTROS,null,CM,Órgão da Câmara dos Deputados,https://dadosabertos.camara.leg.br/api/v2/orgaos/301
PCM,12000,302,PCM,PCM,null,PCM,Órgão da Câmara dos Deputados,https://dadosabertos.camara.leg.br/api/v2/orgaos/302
MIC,12000,325,MIC,MIC,null,MIC,Órgão da Câmara dos Deputados,https://dadosabertos.camara.leg.br/api/v2/orgaos/325
Consultoria de Orçamento e Fiscalização Financeira da Câmara,12000,340,Consultoria de Orçamento e Fiscalização Financeira da Câmara dos Deputados,Consultoria de Orçamento e Fiscalização Financeira da Câmara,null,COFF,Órgão da Câmara dos Deputados,https://dadosabertos.camara.leg.br/api/v2/orgaos/340
CONSELHO DE MINISTÉRIOS,12000,399,CONSELHO DE MINISTÉRIOS,CONSELHO DE MINISTÉRIOS,null,CMIN,Órgão da Câmara dos Deputados,https://dadosabertos.camara.leg.br/api/v2/orgaos/399
CESP - APLICAÇÃO DO CODIGO DE TRANSITO,6,481,CESP - APLICAÇÃO DO CODIGO DE TRANSITO,CESP - APLICAÇÃO DO CODIGO DE TRANSITO,null,CESPACT,Comissão Mista Permanente,https://dadosabertos.camara.leg.br/api/v2/orgaos/481
Coordenação de Comissões Temporárias,12000,1002,Coordenação de Comissões Temporárias,Coordenação de Comissões Temporárias,null,CCT,Órgão da Câmara dos Deputados,https://dadosabertos.camara.leg.br/api/v2/orgaos/1002
"Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural",2,2001,"Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural","Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural",Agropecuária,CAPADR,Comissão Permanente,https://dadosabertos.camara.leg.br/api/v2/orgaos/2001
"Ciência, Tecnologia e Inovação",2,2002,"Comissão de Ciência, Tecnologia e Inovação","Comissão de Ciência, Tecnologia e Inovação",Ciência e Tecnologia,CCTI,Comissão Permanente,https://dadosabertos.camara.leg.br/api/v2/orgaos/2002
Constituição e Justiça e de Cidadania,2,2003,Comissão de Constituição e Justiça e de Cidadania,Comissão de Constituição e Justiça e de Cidadania,Constituição e Justiça,CCJC,Comissão Permanente,https://dadosabertos.camara.leg.br/api/v2/orgaos/2003
Defesa do Consumidor,2,2004,Comissão de Defesa do Consumidor,Comissão de Defesa do Consumidor,Consumidor,CDC,Comissão Permanente,https://dadosabertos.camara.leg.br/api/v2/orgaos/2004
Desenvolvimento Urbano,2,2006,Comissão de Desenvolvimento Urbano,Comissão de Desenvolvimento Urbano,Desenvolvimento Urbano,CDU,Comissão Permanente,https://dadosabertos.camara.leg.br/api/v2/orgaos/2006
"Direitos Humanos, Minorias e Igualdade Racial",2,2007,"Comissão de Direitos Humanos, Minorias e Igualdade Racial","Comissão de Direitos Humanos, Minorias e Igualdade Racial",Direitos Humanos,CDHMIR,Comissão Permanente,https://dadosabertos.camara.leg.br/api/v2/orgaos/2007
Desenvolvimento Econômico,2,2008,Comissão de Desenvolvimento Econômico,Comissão de Desenvolvimento Econômico,Desenvolvimento Econômico,CDE,Comissão Permanente,https://dadosabertos.camara.leg.br/api/v2/orgaos/2008
Educação,2,2009,Comissão de Educação,Comissão de Educação,Educação,CE,Comissão Permanente,https://dadosabertos.camara.leg.br/api/v2/orgaos/2009
Finanças e Tributação,2,2010,Comissão de Finanças e Tributação,Comissão de Finanças e Tributação,Finanças e Tributação,CFT,Comissão Permanente,https://dadosabertos.camara.leg.br/api/v2/orgaos/2010
Fiscalização Financeira e Controle,2,2011,Comissão de Fiscalização Financeira e Controle,Comissão de Fiscalização Financeira e Controle,Fiscalização Financeira,CFFC,Comissão Permanente,https://dadosabertos.camara.leg.br/api/v2/orgaos/2011
Minas e Energia,2,2012,Comissão de Minas e Energia,Comissão de Minas e Energia,Minas e Energia,CME,Comissão Permanente,https://dadosabertos.camara.leg.br/api/v2/orgaos/2012
Saúde,2,2014,Comissão de Saúde,Comissão de Saúde,Saúde,CSAUDE,Comissão Permanente,https://dadosabertos.camara.leg.br/api/v2/orgaos/2014
Trabalho,2,2015,Comissão de Trabalho,Comissão de Trabalho,Trabalho,CTRAB,Comissão Permanente,https://dadosabertos.camara.leg.br/api/v2/orgaos/2015
Viação e Transportes,2,2016,Comissão de Viação e Transportes,Comissão de Viação e Transportes,Viação e Transportes,CVT,Comissão Permanente,https://dadosabertos.camara.leg.br/api/v2/orgaos/2016
Integração Nacional e Desenvolvimento Regional,2,2017,Comissão de Integração Nacional e Desenvolvimento Regional,Comissão de Integração Nacional e Desenvolvimento Regional,Integração Nacional,CINDRE,Comissão Permanente,https://dadosabertos.camara.leg.br/api/v2/orgaos/2017
Relações Exteriores e de Defesa Nacional,2,2018,Comissão de Relações Exteriores e de Defesa Nacional,Comissão de Relações Exteriores e de Defesa Nacional,Relações Exteriores,CREDN,Comissão Permanente,https://dadosabertos.camara.leg.br/api/v2/orgaos/2018
Comissão Mista de acompanhamento das medidas relacionadas ao coronavírus (Covid-19),81002,2342,Comissão Mista de acompanhamento das medidas relacionadas ao coronavírus (Covid-19),Comissão Mista de acompanhamento das medidas relacionadas ao coronavírus (Covid-19),null,CN-Covid19,Comissão Mista,https://dadosabertos.camara.leg.br/api/v2/orgaos/2342
CONSELHO DE ALTOS ESTUDOS E AVALIAÇÃO TECNOLOGICA,11,5306,"Dispõe sobre o Conselho de Altos Estudos e Avaliação Tecnológica, de que trata o artigo 275 do Regimento Interno.",CONSELHO DE ALTOS ESTUDOS E AVALIAÇÃO TECNOLOGICA,null,COESTUDO,Conselho,https://dadosabertos.camara.leg.br/api/v2/orgaos/5306
PROCURADORIA PARLAMENTAR,12,5354,Procuradoria Parlamentar da Câmara dos Deputados (Art. 21 do RICD).,PROCURADORIA PARLAMENTAR,null,PROC1999,Procuradoria Parlamentar,https://dadosabertos.camara.leg.br/api/v2/orgaos/5354
CONSELHO DA REPÚBLICA,11,5356,Conselho da República. (Art. 89 da CF),CONSELHO DA REPÚBLICA,null,CONSE99,Conselho,https://dadosabertos.camara.leg.br/api/v2/orgaos/5356
PROCURADORIA PARLAMENTAR - 2000/2001,12,5382,PROCURADORIA PARLAMENTAR,PROCURADORIA PARLAMENTAR - 2000/2001,null,PROCPARL,Procuradoria Parlamentar,https://dadosabertos.camara.leg.br/api/v2/orgaos/5382
Legislação Participativa,2,5438,Comissão de Legislação Participativa,Comissão de Legislação Participativa,Legislação Participativa,CLP,Comissão Permanente,https://dadosabertos.camara.leg.br/api/v2/orgaos/5438
