aprovacao,data,dataHoraRegistro,descricao,id,proposicaoObjeto,siglaOrgao,uri,uriEvento,uriOrgao,uriProposicaoObjeto
1,2026-04-23,2026-04-23T12:13:56,"Aprovada a Redação Final assinada pelo relator, Dep. Marcelo Queiroz (PSDB/RJ).",2317939-77,null,PLEN,https://dadosabertos.camara.leg.br/api/v2/votacoes/2317939-77,https://dadosabertos.camara.leg.br/api/v2/eventos/81738,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,null
1,2026-04-23,2026-04-23T12:13:18,"Aprovado o Substitutivo ao Projeto de Lei nº 580, de 2022, adotado pelo relator da Comissão de Constituição e Justiça e de Cidadania.",2317939-74,null,PLEN,https://dadosabertos.camara.leg.br/api/v2/votacoes/2317939-74,https://dadosabertos.camara.leg.br/api/v2/eventos/81738,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,null
1,2026-04-22,2026-04-22T22:54:26,"Aprovada a Redação Final assinada pelo relator, Dep. Sidney Leite (PSD-AM).",2419185-72,null,PLEN,https://dadosabertos.camara.leg.br/api/v2/votacoes/2419185-72,https://dadosabertos.camara.leg.br/api/v2/eventos/81726,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,null
1,2026-04-22,2026-04-22T22:52:57,"Aprovado o Substitutivo ao Projeto de Lei nº 539, de 2024, adotado pelo relator da Comissão da Amazônia e dos Povos Originários e Tradicionais.",2419185-69,null,PLEN,https://dadosabertos.camara.leg.br/api/v2/votacoes/2419185-69,https://dadosabertos.camara.leg.br/api/v2/eventos/81726,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,null
1,2026-04-22,2026-04-22T22:40:53,Aprovada a Emenda de Redação nº 1.,2234260-169,null,PLEN,https://dadosabertos.camara.leg.br/api/v2/votacoes/2234260-169,https://dadosabertos.camara.leg.br/api/v2/eventos/81726,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,null
1,2026-04-22,2026-04-22T22:38:01,"Aprovada a Redação Final assinada pela relatora, Dep. Flávia Morais (PDT-GO).",2234260-166,null,PLEN,https://dadosabertos.camara.leg.br/api/v2/votacoes/2234260-166,https://dadosabertos.camara.leg.br/api/v2/eventos/81726,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,null
null,2026-04-22,2026-04-22T22:37:34,Mantido o texto. Sim: 252; Não: 161; Total: 413.,2234260-164,null,PLEN,https://dadosabertos.camara.leg.br/api/v2/votacoes/2234260-164,https://dadosabertos.camara.leg.br/api/v2/eventos/81726,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,null
0,2026-04-22,2026-04-22T22:25:20,Rejeitada a Emenda de Plenário nº 26.,2234260-145,null,PLEN,https://dadosabertos.camara.leg.br/api/v2/votacoes/2234260-145,https://dadosabertos.camara.leg.br/api/v2/eventos/81726,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,null
1,2026-04-22,2026-04-22T22:21:59,"Aprovada a Subemenda Substitutiva Global ao Projeto de Lei nº 6.461, de 2019, adotada pela relatora da Comissão Especial, ressalvados os destaques.",2234260-141,null,PLEN,https://dadosabertos.camara.leg.br/api/v2/votacoes/2234260-141,https://dadosabertos.camara.leg.br/api/v2/eventos/81726,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,null
0,2026-04-22,2026-04-22T22:18:32,Rejeitado o Requerimento.,2234260-137,null,PLEN,https://dadosabertos.camara.leg.br/api/v2/votacoes/2234260-137,https://dadosabertos.camara.leg.br/api/v2/eventos/81726,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,null
1,2026-04-22,2026-04-22T22:18:11,"Aprovada a Redação Final assinada pelo relator, Dep. Doutor Luizinho (PP-RJ).",2469569-41,null,PLEN,https://dadosabertos.camara.leg.br/api/v2/votacoes/2469569-41,https://dadosabertos.camara.leg.br/api/v2/eventos/81726,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,null
1,2026-04-22,2026-04-22T22:17:21,"Aprovado o Substitutivo ao Projeto de Lei nº 4.397, de 2024, adotado pelo relator da Comissão de Constituição e Justiça e de Cidadania. Sim: 300; Não: 36; Abstenção: 1; Total: 337.",2469569-38,null,PLEN,https://dadosabertos.camara.leg.br/api/v2/votacoes/2469569-38,https://dadosabertos.camara.leg.br/api/v2/eventos/81726,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,null
0,2026-04-22,2026-04-22T22:05:04,Rejeitado o Requerimento.,2469569-34,null,PLEN,https://dadosabertos.camara.leg.br/api/v2/votacoes/2469569-34,https://dadosabertos.camara.leg.br/api/v2/eventos/81726,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,null
1,2026-04-22,2026-04-22T22:02:01,"Aprovada a Redação Final, assinada pela relatora, Dep. Amanda Gentil (PP/MA).",2617614-23,null,PLEN,https://dadosabertos.camara.leg.br/api/v2/votacoes/2617614-23,https://dadosabertos.camara.leg.br/api/v2/eventos/81726,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,null
1,2026-04-22,2026-04-22T22:01:33,"Aprovado o Projeto de Resolução nº 22, de 2026.",2617614-20,null,PLEN,https://dadosabertos.camara.leg.br/api/v2/votacoes/2617614-20,https://dadosabertos.camara.leg.br/api/v2/eventos/81726,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,null
1,2026-04-22,2026-04-22T21:53:41,Aprovado o Requerimento de Urgência (Art. 155 do RICD).,2617639-6,REQ 2189/2026,PLEN,https://dadosabertos.camara.leg.br/api/v2/votacoes/2617639-6,https://dadosabertos.camara.leg.br/api/v2/eventos/81726,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2617639
1,2026-04-22,2026-04-22T21:52:55,"Realizar o encaminhamento do PLP-158/2025 à CASP (tramitação simultânea), em razão da aprovação de requerimento de urgência.",2539320-13,null,CCP,https://dadosabertos.camara.leg.br/api/v2/votacoes/2539320-13,null,https://dadosabertos.camara.leg.br/api/v2/orgaos/186,null
1,2026-04-22,2026-04-22T21:52:55,"Realizar o encaminhamento do PLP-158/2025 à CPASF (tramitação simultânea), em razão da aprovação de requerimento de urgência.",2539320-12,null,CCP,https://dadosabertos.camara.leg.br/api/v2/votacoes/2539320-12,null,https://dadosabertos.camara.leg.br/api/v2/orgaos/186,null
1,2026-04-22,2026-04-22T21:52:54,"Realizar o encaminhamento do PLP-158/2025 à CFT (tramitação simultânea), em razão da aprovação de requerimento de urgência.",2539320-11,null,CCP,https://dadosabertos.camara.leg.br/api/v2/votacoes/2539320-11,null,https://dadosabertos.camara.leg.br/api/v2/orgaos/186,null
1,2026-04-22,2026-04-22T21:52:54,"Realizar o encaminhamento do PLP-158/2025 à CCJC (tramitação simultânea), em razão da aprovação de requerimento de urgência.",2539320-10,null,CCP,https://dadosabertos.camara.leg.br/api/v2/votacoes/2539320-10,null,https://dadosabertos.camara.leg.br/api/v2/orgaos/186,null
1,2026-04-22,2026-04-22T21:52:54,"Aprovado, por unanimidade, o Requerimento de Urgência (Art. 155 do RICD).",2609070-7,REQ 1425/2026,PLEN,https://dadosabertos.camara.leg.br/api/v2/votacoes/2609070-7,https://dadosabertos.camara.leg.br/api/v2/eventos/81726,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2609070
1,2026-04-22,2026-04-22T21:51:53,"Realizar o encaminhamento do PL-4583/2024 à CCJC (tramitação simultânea), em razão da aprovação de requerimento de urgência.",2473086-56,null,CCP,https://dadosabertos.camara.leg.br/api/v2/votacoes/2473086-56,null,https://dadosabertos.camara.leg.br/api/v2/orgaos/186,null
1,2026-04-22,2026-04-22T21:51:52,"Realizar o encaminhamento do PL-4583/2024 à CCJC (tramitação simultânea), em razão da aprovação de requerimento de urgência.",2473086-55,null,CCP,https://dadosabertos.camara.leg.br/api/v2/votacoes/2473086-55,null,https://dadosabertos.camara.leg.br/api/v2/orgaos/186,null
1,2026-04-22,2026-04-22T21:51:52,"Aprovado, por unanimidade, o Requerimento de Urgência (Art. 155 do RICD).",2617469-6,REQ 2154/2026,PLEN,https://dadosabertos.camara.leg.br/api/v2/votacoes/2617469-6,https://dadosabertos.camara.leg.br/api/v2/eventos/81726,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2617469
1,2026-04-22,2026-04-22T21:50:17,"Realizar o encaminhamento do PL-6399/2025 à CFT (tramitação simultânea), em razão da aprovação de requerimento de urgência.",2596429-21,null,CCP,https://dadosabertos.camara.leg.br/api/v2/votacoes/2596429-21,null,https://dadosabertos.camara.leg.br/api/v2/orgaos/186,null
1,2026-04-22,2026-04-22T21:50:17,"Realizar o encaminhamento do PL-6399/2025 à CFT (tramitação simultânea), em razão da aprovação de requerimento de urgência.",2596429-20,null,CCP,https://dadosabertos.camara.leg.br/api/v2/votacoes/2596429-20,null,https://dadosabertos.camara.leg.br/api/v2/orgaos/186,null
1,2026-04-22,2026-04-22T21:50:16,"Realizar o encaminhamento do PL-6399/2025 à CCJC (tramitação simultânea), em razão da aprovação de requerimento de urgência.",2596429-19,null,CCP,https://dadosabertos.camara.leg.br/api/v2/votacoes/2596429-19,null,https://dadosabertos.camara.leg.br/api/v2/orgaos/186,null
1,2026-04-22,2026-04-22T21:50:15,Aprovado o Requerimento de Urgência (Art. 155 do RICD).,2616936-7,REQ 2112/2026,PLEN,https://dadosabertos.camara.leg.br/api/v2/votacoes/2616936-7,https://dadosabertos.camara.leg.br/api/v2/eventos/81726,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2616936
1,2026-04-22,2026-04-22T21:47:12,"Aprovada a Redação Final assinada pelo relator, Dep. Marx Beltrão (PP/AL).",2368697-73,null,PLEN,https://dadosabertos.camara.leg.br/api/v2/votacoes/2368697-73,https://dadosabertos.camara.leg.br/api/v2/eventos/81726,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,null
null,2026-04-22,2026-04-22T21:46:16,Mantido o texto.,2368697-71,null,PLEN,https://dadosabertos.camara.leg.br/api/v2/votacoes/2368697-71,https://dadosabertos.camara.leg.br/api/v2/eventos/81726,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,null
null,2026-04-22,2026-04-22T21:45:11,Mantido o texto.,2368697-68,null,PLEN,https://dadosabertos.camara.leg.br/api/v2/votacoes/2368697-68,https://dadosabertos.camara.leg.br/api/v2/eventos/81726,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,null
null,2026-04-22,2026-04-22T21:44:27,Mantido o texto.,2368697-65,null,PLEN,https://dadosabertos.camara.leg.br/api/v2/votacoes/2368697-65,https://dadosabertos.camara.leg.br/api/v2/eventos/81726,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,null
0,2026-04-22,2026-04-22T21:36:07,Rejeitada a Emenda de Plenário nº 4.,2368697-62,null,PLEN,https://dadosabertos.camara.leg.br/api/v2/votacoes/2368697-62,https://dadosabertos.camara.leg.br/api/v2/eventos/81726,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,null
null,2026-04-22,2026-04-22T21:34:03,Mantido o texto.,2368697-59,null,PLEN,https://dadosabertos.camara.leg.br/api/v2/votacoes/2368697-59,https://dadosabertos.camara.leg.br/api/v2/eventos/81726,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,null
1,2026-04-22,2026-04-22T21:28:47,"Aprovada a Subemenda Substitutiva Global ao Projeto de Lei nº 3.025, de 2023, adotada pelo relator da Comissão de Minas e Energia, ressalvados os destaques.",2368697-53,null,PLEN,https://dadosabertos.camara.leg.br/api/v2/votacoes/2368697-53,https://dadosabertos.camara.leg.br/api/v2/eventos/81726,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,null
0,2026-04-22,2026-04-22T21:25:40,Rejeitada a Preferência.,2368697-51,null,PLEN,https://dadosabertos.camara.leg.br/api/v2/votacoes/2368697-51,https://dadosabertos.camara.leg.br/api/v2/eventos/81726,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,null
0,2026-04-22,2026-04-22T21:24:46,Rejeitado o Requerimento. Sim: 119; Não: 241; Total: 360.,2368697-49,null,PLEN,https://dadosabertos.camara.leg.br/api/v2/votacoes/2368697-49,https://dadosabertos.camara.leg.br/api/v2/eventos/81726,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,null
0,2026-04-22,2026-04-22T21:01:12,Rejeitado o Requerimento. Sim: 120; Não: 270; Total: 390.,2368697-43,null,PLEN,https://dadosabertos.camara.leg.br/api/v2/votacoes/2368697-43,https://dadosabertos.camara.leg.br/api/v2/eventos/81726,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,null
0,2026-04-22,2026-04-22T20:45:54,Rejeitado o Requerimento. Sim: 117; Não: 278; Total: 395.,2368697-38,null,PLEN,https://dadosabertos.camara.leg.br/api/v2/votacoes/2368697-38,https://dadosabertos.camara.leg.br/api/v2/eventos/81726,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,null
1,2026-04-22,2026-04-22T20:32:51,"Aprovada a Redação Final, assinada pelo relator, Dep. Antonio Brito (PSD/BA).",2582523-43,null,PLEN,https://dadosabertos.camara.leg.br/api/v2/votacoes/2582523-43,https://dadosabertos.camara.leg.br/api/v2/eventos/81726,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,null
