dataRegistroVoto,deputado_,tipoVoto
2026-05-06T21:01:49,"{""urlFoto"":""https://www.camara.leg.br/internet/deputado/bandep/204378.jpg"",""uriPartido"":""https://dadosabertos.camara.leg.br/api/v2/partidos/37906"",""idLegislatura"":""57"",""email"":""dep.coronelchrisostomo@camara.leg.br"",""nome"":""Coronel Chrisóstomo"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/deputados/204378"",""siglaUf"":""RO"",""siglaPartido"":""PL"",""id"":""204378""}",Não
2026-05-06T21:01:43,"{""urlFoto"":""https://www.camara.leg.br/internet/deputado/bandep/227310.jpg"",""uriPartido"":""https://dadosabertos.camara.leg.br/api/v2/partidos/37906"",""idLegislatura"":""57"",""email"":""dep.silvioantonio@camara.leg.br"",""nome"":""Silvio Antonio"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/deputados/227310"",""siglaUf"":""MA"",""siglaPartido"":""PL"",""id"":""227310""}",Não
2026-05-06T21:01:01,"{""urlFoto"":""https://www.camara.leg.br/internet/deputado/bandep/160553.jpg"",""uriPartido"":""https://dadosabertos.camara.leg.br/api/v2/partidos/36834"",""idLegislatura"":""57"",""email"":""dep.antoniobrito@camara.leg.br"",""nome"":""Antonio Brito"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/deputados/160553"",""siglaUf"":""BA"",""siglaPartido"":""PSD"",""id"":""160553""}",Sim
2026-05-06T21:00:52,"{""urlFoto"":""https://www.camara.leg.br/internet/deputado/bandep/220661.jpg"",""uriPartido"":""https://dadosabertos.camara.leg.br/api/v2/partidos/37906"",""idLegislatura"":""57"",""email"":""dep.matheusnoronha@camara.leg.br"",""nome"":""Matheus Noronha"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/deputados/220661"",""siglaUf"":""CE"",""siglaPartido"":""PL"",""id"":""220661""}",Não
2026-05-06T21:00:42,"{""urlFoto"":""https://www.camara.leg.br/internet/deputado/bandep/204534.jpg"",""uriPartido"":""https://dadosabertos.camara.leg.br/api/v2/partidos/36832"",""idLegislatura"":""57"",""email"":""dep.tabataamaral@camara.leg.br"",""nome"":""Tabata Amaral"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/deputados/204534"",""siglaUf"":""SP"",""siglaPartido"":""PSB"",""id"":""204534""}",Sim
2026-05-06T21:00:38,"{""urlFoto"":""https://www.camara.leg.br/internet/deputado/bandep/220589.jpg"",""uriPartido"":""https://dadosabertos.camara.leg.br/api/v2/partidos/37904"",""idLegislatura"":""57"",""email"":""dep.eduardovelloso@camara.leg.br"",""nome"":""Eduardo Velloso"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/deputados/220589"",""siglaUf"":""AC"",""siglaPartido"":""SOLIDARIEDADE"",""id"":""220589""}",Sim
2026-05-06T21:00:08,"{""urlFoto"":""https://www.camara.leg.br/internet/deputado/bandep/220696.jpg"",""uriPartido"":""https://dadosabertos.camara.leg.br/api/v2/partidos/36844"",""idLegislatura"":""57"",""email"":""dep.ivoneidecaetano@camara.leg.br"",""nome"":""Ivoneide Caetano"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/deputados/220696"",""siglaUf"":""BA"",""siglaPartido"":""PT"",""id"":""220696""}",Sim
2026-05-06T20:59:46,"{""urlFoto"":""https://www.camara.leg.br/internet/deputado/bandep/235776.jpg"",""uriPartido"":""https://dadosabertos.camara.leg.br/api/v2/partidos/37903"",""idLegislatura"":""57"",""email"":""dep.sergioturra@camara.leg.br"",""nome"":""Sérgio Turra"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/deputados/235776"",""siglaUf"":""RS"",""siglaPartido"":""PP"",""id"":""235776""}",Não
2026-05-06T20:59:22,"{""urlFoto"":""https://www.camara.leg.br/internet/deputado/bandep/178970.jpg"",""uriPartido"":""https://dadosabertos.camara.leg.br/api/v2/partidos/36844"",""idLegislatura"":""57"",""email"":""dep.joaodaniel@camara.leg.br"",""nome"":""João Daniel"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/deputados/178970"",""siglaUf"":""SE"",""siglaPartido"":""PT"",""id"":""178970""}",Sim
2026-05-06T20:59:14,"{""urlFoto"":""https://www.camara.leg.br/internet/deputado/bandep/73486.jpg"",""uriPartido"":""https://dadosabertos.camara.leg.br/api/v2/partidos/36786"",""idLegislatura"":""57"",""email"":""dep.pompeodemattos@camara.leg.br"",""nome"":""Pompeo de Mattos"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/deputados/73486"",""siglaUf"":""RS"",""siglaPartido"":""PDT"",""id"":""73486""}",Sim
2026-05-06T20:59:06,"{""urlFoto"":""https://www.camara.leg.br/internet/deputado/bandep/220655.jpg"",""uriPartido"":""https://dadosabertos.camara.leg.br/api/v2/partidos/37906"",""idLegislatura"":""57"",""email"":""dep.mariofrias@camara.leg.br"",""nome"":""Mario Frias"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/deputados/220655"",""siglaUf"":""SP"",""siglaPartido"":""PL"",""id"":""220655""}",Não
2026-05-06T20:58:55,"{""urlFoto"":""https://www.camara.leg.br/internet/deputado/bandep/141531.jpg"",""uriPartido"":""https://dadosabertos.camara.leg.br/api/v2/partidos/38009"",""idLegislatura"":""57"",""email"":""dep.rodrigodecastro@camara.leg.br"",""nome"":""Rodrigo de Castro"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/deputados/141531"",""siglaUf"":""MG"",""siglaPartido"":""UNIÃO"",""id"":""141531""}",Sim
2026-05-06T20:58:41,"{""urlFoto"":""https://www.camara.leg.br/internet/deputado/bandep/204525.jpg"",""uriPartido"":""https://dadosabertos.camara.leg.br/api/v2/partidos/37906"",""idLegislatura"":""57"",""email"":""dep.rosanavalle@camara.leg.br"",""nome"":""Rosana Valle"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/deputados/204525"",""siglaUf"":""SP"",""siglaPartido"":""PL"",""id"":""204525""}",Não
2026-05-06T20:58:34,"{""urlFoto"":""https://www.camara.leg.br/internet/deputado/bandep/204517.jpg"",""uriPartido"":""https://dadosabertos.camara.leg.br/api/v2/partidos/37906"",""idLegislatura"":""57"",""email"":""dep.zevitor@camara.leg.br"",""nome"":""Zé Vitor"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/deputados/204517"",""siglaUf"":""MG"",""siglaPartido"":""PL"",""id"":""204517""}",Não
2026-05-06T20:58:22,"{""urlFoto"":""https://www.camara.leg.br/internet/deputado/bandep/160545.jpg"",""uriPartido"":""https://dadosabertos.camara.leg.br/api/v2/partidos/38009"",""idLegislatura"":""57"",""email"":""dep.alexandreleite@camara.leg.br"",""nome"":""Alexandre Leite"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/deputados/160545"",""siglaUf"":""SP"",""siglaPartido"":""UNIÃO"",""id"":""160545""}",Sim
2026-05-06T20:57:49,"{""urlFoto"":""https://www.camara.leg.br/internet/deputado/bandep/220609.jpg"",""uriPartido"":""https://dadosabertos.camara.leg.br/api/v2/partidos/38009"",""idLegislatura"":""57"",""email"":""dep.mauriciocarvalho@camara.leg.br"",""nome"":""Maurício Carvalho"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/deputados/220609"",""siglaUf"":""RO"",""siglaPartido"":""UNIÃO"",""id"":""220609""}",Não
2026-05-06T20:57:31,"{""urlFoto"":""https://www.camara.leg.br/internet/deputado/bandep/204395.jpg"",""uriPartido"":""https://dadosabertos.camara.leg.br/api/v2/partidos/37908"",""idLegislatura"":""57"",""email"":""dep.pedrolupion@camara.leg.br"",""nome"":""Pedro Lupion"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/deputados/204395"",""siglaUf"":""PR"",""siglaPartido"":""REPUBLICANOS"",""id"":""204395""}",Sim
