id,nome,sigla,uri
36898,Avante,AVANTE,https://dadosabertos.camara.leg.br/api/v2/partidos/36898
37905,Cidadania,CIDADANIA,https://dadosabertos.camara.leg.br/api/v2/partidos/37905
36899,Movimento Democrático Brasileiro,MDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36899
38011,Partido Missão,MISSÃO,https://dadosabertos.camara.leg.br/api/v2/partidos/38011
37901,Partido Novo,NOVO,https://dadosabertos.camara.leg.br/api/v2/partidos/37901
36779,Partido Comunista do Brasil,PCdoB,https://dadosabertos.camara.leg.br/api/v2/partidos/36779
36786,Partido Democrático Trabalhista,PDT,https://dadosabertos.camara.leg.br/api/v2/partidos/36786
37906,Partido Liberal,PL,https://dadosabertos.camara.leg.br/api/v2/partidos/37906
36896,Podemos,PODE,https://dadosabertos.camara.leg.br/api/v2/partidos/36896
37903,Progressistas,PP,https://dadosabertos.camara.leg.br/api/v2/partidos/37903
38010,Partido Renovação Democrática,PRD,https://dadosabertos.camara.leg.br/api/v2/partidos/38010
36832,Partido Socialista Brasileiro,PSB,https://dadosabertos.camara.leg.br/api/v2/partidos/36832
36834,Partido Social Democrático,PSD,https://dadosabertos.camara.leg.br/api/v2/partidos/36834
36835,Partido da Social Democracia Brasileira,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835
36839,Partido Socialismo e Liberdade,PSOL,https://dadosabertos.camara.leg.br/api/v2/partidos/36839
