id,nome,siglaPartido,siglaUF,idLegislatura
204549,AJ Albuquerque,PP,CE,57
74057,Alice Portugal,PCdoB,BA,57
204572,Capitão Alberto Neto,PL,AM,57
73441,Celso Russomanno,REPUBLICANOS,SP,57
74467,Damião Feliciano,UNIÃO,PB,57
220603,Dani Cunha,PL,RJ,57
204459,Daniela do Waguinho,REPUBLICANOS,RJ,57
220649,Delegado da Cunha,PP,SP,57
220686,Duarte Jr.,AVANTE,MA,57
220540,Duda Ramos,PODE,RR,57
178854,Elmar Nascimento,UNIÃO,BA,57
171623,Fabio Reis,PSD,SE,57
141431,Fernando Coelho Filho,UNIÃO,PE,57
204394,Gervásio Maia,PCdoB,PB,57
74383,Giacobo,PSD,PR,57
220537,Helena Lima,PSD,RR,57
220559,Julia Zanatta,PL,SC,57
204536,Kim Kataguiri,MISSÃO,SP,57
92102,Leur Lomanto Júnior,UNIÃO,BA,57
74478,Luciano Bivar,MDB,PE,57
178954,Lucio Mosquini,PL,RO,57
141485,Luiz Carlos Busato,UNIÃO,RS,57
178866,Luizianne Lins,REDE,CE,57
220687,Márcio Honaiser,SOLIDARIEDADE,MA,57
74428,Mendonça Filho,PL,PE,57
160556,Padre João,PT,MG,57
141518,Paulinho da Força,SOLIDARIEDADE,SP,57
221329,Ricardo Abrão,PSDB,RJ,57
204489,Robério Monteiro,PSB,CE,57
220613,Roberto Monteiro Pai,PL,RJ,57
230767,Rodrigo da Zaeli,PL,MT,57
220644,Rosangela Moro,PL,SP,57
178946,Soraya Santos,PL,RJ,57
178882,André Fufuca,PP,MA,57
160553,Antonio Brito,PSD,BA,57
220549,Any Ortiz,CIDADANIA,RS,57
220698,Beto Preto,PSD,PR,57
178829,Capitão Augusto,PL,SP,57
88256,Clodoaldo Magalhães,PV,PE,57
220692,Dal Barreto,UNIÃO,BA,57
204367,Daniel Freitas,PL,SC,57
204511,David Soares,PODE,SP,57
220553,Denise Pessôa,PT,RS,57
160588,Diego Andrade,PSD,MG,57
220671,Dilvanda Faro,PT,PA,57
160599,Dimas Fabiano,PP,MG,57
141421,Eduardo da Fonte,PP,PE,57
74075,Elcione Barbalho,MDB,PA,57
160640,Eros Biondini,PL,MG,57
198197,Greyce Elias,AVANTE,MG,57
204539,Hercílio Coelho Diniz,MDB,MG,57
220563,Icaro de Valmir,REPUBLICANOS,SE,57
235620,Ilacir Bicalho,REPUBLICANOS,MG,57
141456,Jilmar Tatto,PT,SP,57
204472,José Medeiros,PL,MT,57
215043,Josivaldo JP,PSD,MA,57
204474,Juarez Costa,REPUBLICANOS,MT,57
220640,Juliana Cardoso,PT,SP,57
204410,Luisa Canziani,PSD,PR,57
220599,Marcelo Crivella,REPUBLICANOS,RJ,57
133810,Marcelo Moraes,PL,RS,57
178860,Paulo Azi,UNIÃO,BA,57
73486,Pompeo de Mattos,PDT,RS,57
221338,Professora Luciene Cavalcante,PSOL,SP,57
220588,Roberto Duarte,REPUBLICANOS,AC,57
220569,Silvye Alves,UNIÃO,GO,57
160569,Waldenor Pereira,PT,BA,57
74044,Wilson Santiago,REPUBLICANOS,PB,57
220564,Yandra Moura,UNIÃO,SE,57
74262,Carlos Sampaio,PSD,SP,57
141398,Carlos Zarattini,PT,SP,57
206018,Célia Xakriabá,PSOL,MG,57
74171,Chico Alencar,PSOL,RJ,57
141411,Dagoberto Nogueira,PP,MS,57
204541,Eduardo Bismarck,PV,CE,57
92699,Fernando Monteiro,PSD,PE,57
204419,Glaustin da Fokus,PODE,GO,57
235800,Jorge Araújo,PP,BA,57
178886,Juscelino Filho,PSDB,MA,57
204540,Maria Rosas,REPUBLICANOS,SP,57
188097,Merlong Solano,PT,PI,57
220584,Murilo Galdino,REPUBLICANOS,PB,57
220622,Nely Aquino,PODE,MG,57
204498,Olival Marques,PODE,PA,57
160642,Pastor Eurico,PSDB,PE,57
233592,Paulo Lemos,PT,AP,57
161440,Pezenti,MDB,SC,57
160641,Professora Marcivania,PCdoB,AP,57
160629,Romero Rodrigues,PODE,PB,57
220684,Tião Medeiros,PP,PR,57
160610,Valmir Assunção,PT,BA,57
204396,Vermelho,PP,PR,57
160591,Vinicius Gurgel,PL,AP,57
160527,Aguinaldo Ribeiro,PP,PB,57
160545,Alexandre Leite,UNIÃO,SP,57
220657,André Fernandes,PL,CE,57
204515,André Janones,REDE,MG,57
73433,Arlindo Chinaglia,PT,SP,57
160600,Arthur Oliveira Maia,UNIÃO,BA,57
74060,Daniel Almeida,PCdoB,BA,57
204512,Delegado Marcelo Freitas,UNIÃO,MG,57
220614,Dr. Daniel Soranz,PSD,RJ,57
220712,Fausto Jr.,UNIÃO,AM,57
72442,Felipe Carreras,PSB,PE,57
220551,Franciane Bayer,REPUBLICANOS,RS,57
204491,Gilberto Abramo,REPUBLICANOS,MG,57
220568,Gustavo Gayer,PL,GO,57
220670,Iza Arruda,MDB,PE,57
160548,Jonas Donizette,PSB,SP,57
204391,José Nelto,UNIÃO,GO,57
209189,Joseildo Ramos,PT,BA,57
204550,Júnior Mano,PSB,CE,57
74858,Lindbergh Farias,PT,RJ,57
220669,Lula da Fonte,PP,PE,57
81055,Márcio Jerry,PCdoB,MA,57
160535,Marcon,PT,RS,57
178896,Newton Cardoso Jr,MDB,MG,57
204553,Pastor Sargento Isidório,AVANTE,BA,57
74160,Patrus Ananias,PT,MG,57
220630,Pedro Aihara,PP,MG,57
122974,Pedro Lucas Fernandes,UNIÃO,MA,57
178945,Rosangela Gomes,REPUBLICANOS,RJ,57
235712,Vavá,AVANTE,MG,57
204379,Acácio Favacho,MDB,AP,57
73579,Alberto Fraga,PL,DF,57
221148,Alfredinho,PT,SP,57
204353,Aline Gurgel,UNIÃO,AP,57
220638,Antonio Carlos Rodrigues,PL,SP,57
123086,Átila Lira,PP,PI,57
204358,Beto Pereira,REPUBLICANOS,MS,57
204369,Caroline de Toni,PL,SC,57
220595,Coronel Fernanda,PL,MT,57
204355,Da Vitoria,PP,ES,57
178929,Diego Garcia,REPUBLICANOS,PR,57
220688,Dr. Francisco,PT,PI,57
220623,Duda Salabert,PSOL,MG,57
204398,Felipe Francischini,PODE,PR,57
160666,Félix Mendonça Júnior,PDT,BA,57
220611,General Pazuello,PL,RJ,57
220529,Gilson Daniel,PODE,ES,57
129618,Gorete Pereira,MDB,CE,57
205550,Jorge Braz,REPUBLICANOS,RJ,57
220578,Josenildo,PDT,AP,57
204457,Juninho do Pneu,PSDB,RJ,57
204485,Luiz Carlos Motta,PL,SP,57
150418,Márcio Marinho,REPUBLICANOS,BA,57
220661,Matheus Noronha,PL,CE,57
178985,Miguel Lombardi,PL,SP,57
220617,Murillo Gouvea,PSDB,RJ,57
204449,Nelson Barbudo,PODE,MT,57
204479,Nicoletti,PL,RR,57
178986,Nilto Tatto,PT,SP,57
220706,Padovani,PP,PR,57
204570,Pastor Gil,PL,MA,57
74400,Paulo Pimenta,PT,RS,57
160601,Pr. Marco Feliciano,PL,SP,57
220626,Rafael Simoes,UNIÃO,MG,57
175765,Ribamar Silva,PSD,SP,57
204362,Ricardo Guidi,PL,SC,57
165470,Rodrigo Valadares,PL,SE,57
178835,Afonso Motta,PDT,RS,57
178972,Alex Manente,CIDADANIA,SP,57
220554,Alexandre Lindenmeyer,PT,RS,57
204356,Amaro Neto,PP,ES,57
220556,Ana Paula Lima,PT,SC,57
74090,Átila Lins,PSD,AM,57
69871,Bacelar,PV,BA,57
220548,Camila Jara,PT,MS,57
204496,Celso Sabino,PDT,PA,57
234788,Heloísa Helena,REDE,RJ,57
141450,Hugo Leal,PSD,RJ,57
74295,Inácio Arruda,PCdoB,CE,57
220697,Jadyel Alencar,REPUBLICANOS,PI,57
74585,Lincoln Portela,PL,MG,57
204526,Luiz Philippe de Orleans e Bragança,PL,SP,57
74784,Luiza Erundina,PSOL,SP,57
179001,Márcio Biolchi,MDB,RS,57
220547,Marcos Pollon,PL,MS,57
178858,Mário Negromonte Jr.,PSB,BA,57
178997,Moses Rodrigues,UNIÃO,CE,57
74159,Odair Cunha,PT,MG,57
178987,Orlando Silva,PCdoB,SP,57
180214,Pastor Diniz,UNIÃO,RR,57
220667,Pedro Campos,PSB,PE,57
204524,Pinheirinho,PP,MG,57
220532,Rafael Prudente,MDB,DF,57
220606,Reimont,PT,RJ,57
178989,Renata Abreu,PODE,SP,57
220633,Ricardo Salles,NOVO,SP,57
204387,Sargento Fahur,PL,PR,57
220651,Simone Marquetto,PP,SP,57
74376,Vander Loubet,PT,MS,57
160518,Weliton Prado,SOLIDARIEDADE,MG,57
220576,Alfredo Gaspar,UNIÃO,AL,57
220715,Amom Mandel,REPUBLICANOS,AM,57
220574,Cabo Gilberto Silva,PL,PB,57
204361,Carlos Chiodini,MDB,SC,57
220665,Clarissa Tércio,PP,PE,57
220625,Delegada Ione,AVANTE,MG,57
220561,Delegada Katarina,PSD,SE,57
220583,Delegado Fabio Costa,PP,AL,57
160758,Domingos Sávio,PL,MG,57
204412,Dr. Zacharias Calil,UNIÃO,GO,57
161550,Emidinho Madeira,PL,MG,57
220681,Fábio Macedo,PODE,MA,57
204494,Fred Costa,PRD,MG,57
178970,João Daniel,PT,SE,57
178910,Joaquim Passarinho,PL,PA,57
214694,Jorge Goetten,REPUBLICANOS,SC,57
139285,Lídice da Mata,PSB,BA,57
178931,Luciano Ducci,PSB,PR,57
178943,Marcos Soares,PSDB,RJ,57
220668,Maria Arraes,PSB,PE,57
220628,Mauricio do Vôlei,PL,MG,57
220647,Mauricio Neves,PP,SP,57
220591,Meire Serafim,UNIÃO,AC,57
73692,Osmar Terra,PL,RS,57
220533,Prof. Reginaldo Veras,PV,DF,57
220543,Ricardo Ayres,REPUBLICANOS,TO,57
141531,Rodrigo de Castro,UNIÃO,MG,57
178933,Sergio Souza,MDB,PR,57
204557,Sidney Leite,PSD,AM,57
204360,Silvia Cristina,PP,RO,57
178934,Toninho Wandscheer,PP,PR,57
157130,Túlio Gadêlha,PSD,PE,57
204517,Zé Vitor,PL,MG,57
160592,Zeca Dirceu,PT,PR,57
178881,Aluisio Mendes,REPUBLICANOS,MA,57
220544,Antonio Andrade,REPUBLICANOS,TO,57
178962,Carlos Gomes,REPUBLICANOS,RS,57
220699,Castro Neto,MDB,PI,57
98148,Cobalchini,MDB,SC,57
220642,Delegado Bruno Lima,PODE,SP,57
204450,Doutor Luizinho,PP,RJ,57
74454,Eunício Oliveira,MDB,CE,57
220545,Filipe Martins,PL,TO,57
224117,Gabriel Mota,UNIÃO,RR,57
220708,Gabriel Nunes,PSD,BA,57
178966,Geovania de Sá,PSDB,SC,57
220702,Geraldo Mendes,UNIÃO,PR,57
220526,Gilvan da Federal,PL,ES,57
204533,Idilvan Alencar,PSB,CE,57
74848,Jandira Feghali,PCdoB,RJ,57
178857,Jorge Solla,PT,BA,57
