id_frente,id_deputado,nome_deputado,partido,uf
53938,204392,Francisco Jr.,null,GO
53938,73531,Ivan Valente,null,SP
53938,74366,João Campos,null,GO
53938,178857,Jorge Solla,PT,BA
53938,204372,Julio Cesar Ribeiro,REPUBLICANOS,DF
53938,178832,Leandre,PSD,PR
53938,74585,Lincoln Portela,PL,MG
53938,204390,Professor Alcides,PSDB,GO
53938,160639,Professora Dorinha Seabra Rezende,null,TO
53938,178874,Sergio Vidigal,null,ES
53938,178947,Sóstenes Cavalcante,PL,RJ
53938,178934,Toninho Wandscheer,PP,PR
53938,160592,Zeca Dirceu,PT,PR
53923,204521,Abou Anni,null,SP
53923,178881,Aluisio Mendes,REPUBLICANOS,MA
53923,204488,Célio Studart,PSD,CE
53923,178928,Christiane de Souza Yared,null,PR
53923,204367,Daniel Freitas,PL,SC
53923,178969,Fábio Mitidieri,null,SE
53923,204444,Helio Lopes,PL,RJ
53923,204468,Joenia Wapichana,null,RR
53923,204457,Juninho do Pneu,PSDB,RJ
53923,178956,Mariana Carvalho,null,RO
53923,204428,Marília Arraes,null,PE
53923,204566,Marreca Filho,null,MA
53923,141523,Raul Henry,null,PE
53923,160610,Valmir Assunção,PT,BA
53922,160553,Antonio Brito,PSD,BA
53922,178962,Carlos Gomes,REPUBLICANOS,RS
53922,204499,Cássio Andrade,null,PA
53922,141405,Celso Maldaner,null,SC
53922,204518,Dr. Frederico,PRD,MG
53922,81297,Dra. Soraya Manato,null,ES
53922,178981,Herculano Passos,null,SP
53922,204498,Olival Marques,PODE,PA
53922,160642,Pastor Eurico,PSDB,PE
53922,178889,Zé Carlos,null,MA
53926,178993,Carlos Henrique Gaguim,UNIÃO,TO
53926,178876,Célio Silveira,MDB,GO
53926,141405,Celso Maldaner,null,SC
53926,204518,Dr. Frederico,PRD,MG
53926,204351,Dr. Luiz Ovando,PP,MS
53926,178977,Eduardo Cury,null,SP
53926,178854,Elmar Nascimento,UNIÃO,BA
53926,178871,Evair Vieira de Melo,PP,ES
