id,dataHoraInicio,dataHoraFim,descricao,descricaoTipo,situacao,id_orgao_organizador
75374,2025-03-19T14:58:00.000Z,2025-03-19T16:23:00.000Z,"Reunião de instalação e eleição
 REUNIÃO DE INSTALAÇÃO E ELEIÇÃO.",Reunião de Instalação e Eleição,Encerrada (Final),2007
75462,2025-02-26T14:00:00.000Z,null,Adaptação e Justiça Socioambiental no contexto da emergência climática e da COP30,Reunião Técnica,Convocada,100950
75388,2025-04-02T11:22:00.000Z,2025-04-02T13:08:00.000Z,"Apreciação de parecer
 PAUTA SUJEITA A ALTERAÇÕES

1.Leitura, discussão e votação do Parecer do Deputado Paulo Magalhães - PSD/BA, Relator do processo referente à Representação nº 5/24, em desfavor do Deputado Glauber Braga - PSOL/RJ.",Reunião Deliberativa,Encerrada,5971
75659,2025-03-26T10:49:00.000Z,2025-03-26T11:35:00.000Z,Discussão e votação de propostas legislativas,Reunião Deliberativa,Encerrada (Final),6174
75678,2025-03-26T10:25:00.000Z,2025-03-26T11:58:00.000Z,"Eleição de Primeiro e Segundo Vice-Presidentes, apresentação do Plano Anual de Fiscalização e Controle e deliberação de propostas legislativas
 A - Eleição de Primeiro e Segundo Vice-Presidentes


B - Definição do Plano Anual de Fiscalização e Controle (PAFC 2025)",Reunião Deliberativa,Encerrada (Final),2011
75684,2025-03-25T15:59:00.000Z,2025-03-25T16:43:00.000Z,"Eleição do 1º Vice-Presidente
 Eleição do 1º Vice-Presidente",Reunião de Eleição,Encerrada (Final),5503
75701,2025-03-26T10:15:00.000Z,2025-03-26T10:48:00.000Z,Reunião de eleição para o cargo de 1º Vice-Presidente,Reunião de Eleição,Encerrada (Final),6174
75720,2025-04-02T10:00:00.000Z,2025-04-02T10:07:00.000Z,Discussão e votação de propostas legislativas,Reunião Deliberativa,Encerrada (Termo),6174
75763,2025-04-01T15:00:00.000Z,null,Discussão e votação de propostas legislativas,Reunião Deliberativa,Cancelada,5503
75817,2025-04-03T09:36:00.000Z,2025-04-03T09:38:00.000Z,Discussão e votação de propostas legislativas,Reunião Deliberativa,Encerrada (Final),2003
75839,2025-04-09T10:00:00.000Z,null,"Inscrição de locatário inadimplente no SPC (PL7733/17)
 Requerimento nº 29/2024 do Dep. Aureo Ribeiro

Convidados:

Leonardo Miguel Severini
Presidente da União Nacional das Entidades de Comércio e Serviços (Unecs);

José Cesar da Costa
Presdiente da Confederação Nacional de Dirigentes Lojistas (CNDL);

Isaac Sidney Menezes Ferreira
Presidente da Federação Brasileira de Bancos (Febraban);

Alfredo Cotait Neto
Federação das Associações Comerciais do Estado de São Paulo - Facesp.",Audiência Pública,Cancelada,2004
75930,2025-04-10T10:27:00.000Z,2025-04-10T12:48:00.000Z,Sessão Deliberativa Extraordinária Semipresencial (AM nº 123/2020),Sessão Deliberativa,Encerrada,180
75990,2025-04-15T09:30:00.000Z,null,Discussão e votação de propostas legislativas,Reunião Deliberativa,Cancelada,2014
