id,codTipoOrgao,nome,nomePublicacao,apelido,sigla,tipoOrgao
186,12000,COORDENAÇÃO DE COMISSÕES PERMANENTES,COORDENAÇÃO DE COMISSÕES PERMANENTES,COORDENAÇÃO DE COMISSÕES PERMANENTES,CCP,Órgão da Câmara dos Deputados
5469,1,Segunda Vice-Presidência,2ª Vice-Presidência da Câmara dos Deputados,2ª Vice-Presidência,2VIPR,Comissão Diretora
5582,9,"Dispõe sobre a inclusão dos cargos que especifica no Plano de Classificação de Cargos, instituído pela Lei nº 5.645, de 10 de dezembro de 1970, altera as Leis nº 10.486, de 4 de julho de 2002, e 5.662, de 21 de junho de 2001, e dá outras providências.",MPV56,MPV56,MPV05602,Comissão Medida Provisória
5601,9,"Abre crédito extraordinário, no valor de R$208.000.000,00, em favor do Ministério da Integração Nacional e de Minas e Energia, para os fins que especifica.",MPV72,MPV72,MPV07202,Comissão Medida Provisória
111,81001,CONGRESSO NACIONAL,CN,CONGRESSO NACIONAL,CN,Órgão do Congresso Nacional
209,12000,PODER CONCLUSIVO NAS COMISSÕES,PODER CONCLUSIVO NAS COMISSÕES,PODER CONCLUSIVO NAS COMISSÕES,PTCOM,Órgão da Câmara dos Deputados
2004,2,Comissão de Defesa do Consumidor,Comissão de Defesa do Consumidor,Defesa do Consumidor,CDC,Comissão Permanente
5471,1,Segunda Secretaria da Câmara dos Deputados,2ª Secretaria da Câmara dos Deputados,2ª Secretaria,2SECM,Comissão Diretora
5551,9,"Abre crédito extraordinário, em favor da Justiça do Trabalho e do Ministério da Integração Nacional, no vlaor global de R$ 124.210.542,00 para os fins que especifica",MPV36,MPV36,MPV03602,Comissão Medida Provisória
5604,9,"Altera a Legislação Tributária Federal, e dá outras providências.",MPV75,MPV75,MPV07502,Comissão Medida Provisória
5944,9,"Abre crédito extraordinário ao Orçamento de Investimento para 2002, em favor de diversas empresas do Grupo PETROBRÁS, no valor total de R$2.259.122.810,00, e reduz o Orçamento de Investimento das mesmas empresas no valor global de R$1.536.449,550,00, para os fins que especifica.",MPV88,MPV88,MPV08802,Comissão Medida Provisória
180,26,Plenário,Plenário,Plenário,PLEN,Plenário Virtual
2001,2,"Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural","Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural","Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural",CAPADR,Comissão Permanente
