id_frente,nome_frente,id_deputado,nome_deputado,partido,uf,id_legislatura
55688,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais,160538,Bohn Gass,PT,RS,57
55688,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais,141411,Dagoberto Nogueira,PP,MS,57
55688,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais,74467,Damião Feliciano,UNIÃO,PB,57
55688,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais,66828,Fausto Pinato,PP,SP,57
55688,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais,220545,Filipe Martins,PL,TO,57
55688,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais,74270,Gilberto Nascimento,PSD,SP,57
55688,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais,220648,Marangoni,UNIÃO,SP,57
55688,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais,122158,Pedro Paulo,PSD,RJ,57
55688,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais,220618,Sargento Portugal,PODE,RJ,57
55688,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais,224333,Welter,PT,PR,57
55644,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira,204560,Adolfo Viana,PSDB,BA,57
55644,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira,204388,Bibo Nunes,PL,RS,57
55644,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira,220595,Coronel Fernanda,PL,MT,57
55644,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira,74270,Gilberto Nascimento,PSD,SP,57
55644,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira,204365,Gilson Marques,NOVO,SC,57
55644,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira,220537,Helena Lima,PSD,RR,57
55644,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira,204536,Kim Kataguiri,MISSÃO,SP,57
55644,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira,178986,Nilto Tatto,PT,SP,57
55644,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira,74084,Raimundo Santos,PSD,PA,57
55644,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira,220543,Ricardo Ayres,REPUBLICANOS,TO,57
55699,Frente Parlamentar de Acolhimento e Desenvolvimento Integrado,204374,Bia Kicis,PL,DF,57
55699,Frente Parlamentar de Acolhimento e Desenvolvimento Integrado,220635,Bruno Ganem,PODE,SP,57
55699,Frente Parlamentar de Acolhimento e Desenvolvimento Integrado,141398,Carlos Zarattini,PT,SP,57
55699,Frente Parlamentar de Acolhimento e Desenvolvimento Integrado,74270,Gilberto Nascimento,PSD,SP,57
55699,Frente Parlamentar de Acolhimento e Desenvolvimento Integrado,204536,Kim Kataguiri,MISSÃO,SP,57
55699,Frente Parlamentar de Acolhimento e Desenvolvimento Integrado,220599,Marcelo Crivella,REPUBLICANOS,RJ,57
55699,Frente Parlamentar de Acolhimento e Desenvolvimento Integrado,150418,Márcio Marinho,REPUBLICANOS,BA,57
55699,Frente Parlamentar de Acolhimento e Desenvolvimento Integrado,220685,Paulo Litro,UNIÃO,PR,57
55699,Frente Parlamentar de Acolhimento e Desenvolvimento Integrado,74084,Raimundo Santos,PSD,PA,57
55711,Frente Parlamentar Mista do Ambiente de Negócios (FPN),204528,Adriana Ventura,NOVO,SP,57
55711,Frente Parlamentar Mista do Ambiente de Negócios (FPN),160600,Arthur Oliveira Maia,UNIÃO,BA,57
55711,Frente Parlamentar Mista do Ambiente de Negócios (FPN),160665,Augusto Coutinho,REPUBLICANOS,PE,57
55711,Frente Parlamentar Mista do Ambiente de Negócios (FPN),220683,Beto Richa,PSDB,PR,57
55711,Frente Parlamentar Mista do Ambiente de Negócios (FPN),213762,Carla Dickson,UNIÃO,RN,57
55711,Frente Parlamentar Mista do Ambiente de Negócios (FPN),220608,Cristiane Lopes,PODE,RO,57
55711,Frente Parlamentar Mista do Ambiente de Negócios (FPN),220559,Julia Zanatta,PL,SC,57
55711,Frente Parlamentar Mista do Ambiente de Negócios (FPN),141487,Luiz Fernando Faria,UNIÃO,MG,57
55711,Frente Parlamentar Mista do Ambiente de Negócios (FPN),156190,Marcel van Hattem,NOVO,RS,57
55711,Frente Parlamentar Mista do Ambiente de Negócios (FPN),178997,Moses Rodrigues,UNIÃO,CE,57
55711,Frente Parlamentar Mista do Ambiente de Negócios (FPN),220584,Murilo Galdino,REPUBLICANOS,PB,57
55711,Frente Parlamentar Mista do Ambiente de Negócios (FPN),233594,Rafael Fera,PODE,RO,57
55711,Frente Parlamentar Mista do Ambiente de Negócios (FPN),220532,Rafael Prudente,MDB,DF,57
55711,Frente Parlamentar Mista do Ambiente de Negócios (FPN),220626,Rafael Simoes,UNIÃO,MG,57
55711,Frente Parlamentar Mista do Ambiente de Negócios (FPN),153423,Renilce Nicodemos,MDB,PA,57
55711,Frente Parlamentar Mista do Ambiente de Negócios (FPN),141533,Rodrigo Rollemberg,PSB,DF,57
55711,Frente Parlamentar Mista do Ambiente de Negócios (FPN),220560,Thiago de Joaldo,REPUBLICANOS,SE,57
55710,Frente Parlamentar Mista Brasil - Espanha,220646,Felipe Becari,PODE,SP,57
55710,Frente Parlamentar Mista Brasil - Espanha,178873,Helder Salomão,PT,ES,57
55710,Frente Parlamentar Mista Brasil - Espanha,178954,Lucio Mosquini,PL,RO,57
55710,Frente Parlamentar Mista Brasil - Espanha,204455,Luiz Lima,NOVO,RJ,57
55710,Frente Parlamentar Mista Brasil - Espanha,178997,Moses Rodrigues,UNIÃO,CE,57
55710,Frente Parlamentar Mista Brasil - Espanha,220693,Roberta Roma,PL,BA,57
55710,Frente Parlamentar Mista Brasil - Espanha,204480,Rogério Correia,PT,MG,57
55710,Frente Parlamentar Mista Brasil - Espanha,204534,Tabata Amaral,PSB,SP,57
55710,Frente Parlamentar Mista Brasil - Espanha,220684,Tião Medeiros,PP,PR,57
55710,Frente Parlamentar Mista Brasil - Espanha,178992,Vitor Lippi,PSD,SP,57
55708,Frente Parlamentar Mista em Defesa da Cannabis Medicinal e do Cânhamo Industrial,221148,Alfredinho,PT,SP,57
55708,Frente Parlamentar Mista em Defesa da Cannabis Medicinal e do Cânhamo Industrial,74090,Átila Lins,PSD,AM,57
55708,Frente Parlamentar Mista em Defesa da Cannabis Medicinal e do Cânhamo Industrial,220629,Dandara,PT,MG,57
55708,Frente Parlamentar Mista em Defesa da Cannabis Medicinal e do Cânhamo Industrial,74383,Giacobo,PSD,PR,57
55708,Frente Parlamentar Mista em Defesa da Cannabis Medicinal e do Cânhamo Industrial,178884,Hildo Rocha,MDB,MA,57
55708,Frente Parlamentar Mista em Defesa da Cannabis Medicinal e do Cânhamo Industrial,220670,Iza Arruda,MDB,PE,57
55708,Frente Parlamentar Mista em Defesa da Cannabis Medicinal e do Cânhamo Industrial,220658,Luiz Gastão,PSD,CE,57
55708,Frente Parlamentar Mista em Defesa da Cannabis Medicinal e do Cânhamo Industrial,220604,Marcos Tavares,PDT,RJ,57
55708,Frente Parlamentar Mista em Defesa da Cannabis Medicinal e do Cânhamo Industrial,220550,Mauricio Marcon,PL,RS,57
55708,Frente Parlamentar Mista em Defesa da Cannabis Medicinal e do Cânhamo Industrial,220617,Murillo Gouvea,PSDB,RJ,57
55708,Frente Parlamentar Mista em Defesa da Cannabis Medicinal e do Cânhamo Industrial,204489,Robério Monteiro,PSB,CE,57
55708,Frente Parlamentar Mista em Defesa da Cannabis Medicinal e do Cânhamo Industrial,165470,Rodrigo Valadares,PL,SE,57
55708,Frente Parlamentar Mista em Defesa da Cannabis Medicinal e do Cânhamo Industrial,220598,Tarcísio Motta,PSOL,RJ,57
55708,Frente Parlamentar Mista em Defesa da Cannabis Medicinal e do Cânhamo Industrial,160610,Valmir Assunção,PT,BA,57
55708,Frente Parlamentar Mista em Defesa da Cannabis Medicinal e do Cânhamo Industrial,137070,Vicentinho Júnior,PSDB,TO,57
55708,Frente Parlamentar Mista em Defesa da Cannabis Medicinal e do Cânhamo Industrial,91228,Waldemar Oliveira,AVANTE,PE,57
55708,Frente Parlamentar Mista em Defesa da Cannabis Medicinal e do Cânhamo Industrial,220592,Zezinho Barbary,PP,AC,57
55712,Frente Parlamentar em Defesa do Mutualismo,204501,Alencar Santana,PT,SP,57
55712,Frente Parlamentar em Defesa do Mutualismo,220638,Antonio Carlos Rodrigues,PL,SP,57
55712,Frente Parlamentar em Defesa do Mutualismo,160665,Augusto Coutinho,REPUBLICANOS,PE,57
55712,Frente Parlamentar em Defesa do Mutualismo,178873,Helder Salomão,PT,ES,57
55712,Frente Parlamentar em Defesa do Mutualismo,220563,Icaro de Valmir,REPUBLICANOS,SE,57
55712,Frente Parlamentar em Defesa do Mutualismo,74156,Leonardo Monteiro,PT,MG,57
55712,Frente Parlamentar em Defesa do Mutualismo,220585,Mersinho Lucena,PSD,PB,57
55712,Frente Parlamentar em Defesa do Mutualismo,141518,Paulinho da Força,SOLIDARIEDADE,SP,57
55712,Frente Parlamentar em Defesa do Mutualismo,74400,Paulo Pimenta,PT,RS,57
55712,Frente Parlamentar em Defesa do Mutualismo,220631,Samuel Viana,UNIÃO,MG,57
55712,Frente Parlamentar em Defesa do Mutualismo,220621,Sargento Gonçalves,PL,RN,57
55712,Frente Parlamentar em Defesa do Mutualismo,104552,Socorro Neri,PP,AC,57
55712,Frente Parlamentar em Defesa do Mutualismo,178947,Sóstenes Cavalcante,PL,RJ,57
55705,Frente Parlamentar em Defesa da Ética na Saúde Suplementar,220538,Albuquerque,REPUBLICANOS,RR,57
55705,Frente Parlamentar em Defesa da Ética na Saúde Suplementar,204358,Beto Pereira,REPUBLICANOS,MS,57
55705,Frente Parlamentar em Defesa da Ética na Saúde Suplementar,220665,Clarissa Tércio,PP,PE,57
55705,Frente Parlamentar em Defesa da Ética na Saúde Suplementar,74537,Claudio Cajado,PP,BA,57
55705,Frente Parlamentar em Defesa da Ética na Saúde Suplementar,204378,Coronel Chrisóstomo,PL,RO,57
55705,Frente Parlamentar em Defesa da Ética na Saúde Suplementar,220686,Duarte Jr.,AVANTE,MA,57
55705,Frente Parlamentar em Defesa da Ética na Saúde Suplementar,220568,Gustavo Gayer,PL,GO,57
55705,Frente Parlamentar em Defesa da Ética na Saúde Suplementar,220672,Henderson Pinto,UNIÃO,PA,57
55705,Frente Parlamentar em Defesa da Ética na Saúde Suplementar,188097,Merlong Solano,PT,PI,57
55705,Frente Parlamentar em Defesa da Ética na Saúde Suplementar,160642,Pastor Eurico,PSDB,PE,57
55705,Frente Parlamentar em Defesa da Ética na Saúde Suplementar,204570,Pastor Gil,PL,MA,57
55705,Frente Parlamentar em Defesa da Ética na Saúde Suplementar,220532,Rafael Prudente,MDB,DF,57
55705,Frente Parlamentar em Defesa da Ética na Saúde Suplementar,220695,Rogéria Santos,REPUBLICANOS,BA,57
55705,Frente Parlamentar em Defesa da Ética na Saúde Suplementar,204517,Zé Vitor,PL,MG,57
55704,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,136811,Afonso Hamm,PP,RS,57
55704,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,204495,Airton Faleiro,PT,PA,57
55704,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,178975,Baleia Rossi,MDB,SP,57
55704,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,220545,Filipe Martins,PL,TO,57
55704,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,191923,Flávio Nogueira,PT,PI,57
55704,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,178966,Geovania de Sá,PSDB,SC,57
55704,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,178857,Jorge Solla,PT,BA,57
55704,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,220662,Lucas Ramos,PSB,PE,57
55704,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,204410,Luisa Canziani,PSD,PR,57
55704,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,220617,Murillo Gouvea,PSDB,RJ,57
55704,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,204406,Pedro Westphalen,PP,RS,57
55704,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,73486,Pompeo de Mattos,PDT,RS,57
55704,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,220613,Roberto Monteiro Pai,PL,RJ,57
55704,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,220618,Sargento Portugal,PODE,RJ,57
55680,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,73579,Alberto Fraga,PL,DF,57
55680,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,160559,Alceu Moreira,MDB,RS,57
55680,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,220542,Alexandre Guimarães,MDB,TO,57
55680,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,220554,Alexandre Lindenmeyer,PT,RS,57
55680,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,220595,Coronel Fernanda,PL,MT,57
55680,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,220691,Diego Coronel,REPUBLICANOS,BA,57
55680,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,74374,Geraldo Resende,PSDB,MS,57
55680,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,204408,Gustinho Ribeiro,PP,SE,57
55680,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,204536,Kim Kataguiri,MISSÃO,SP,57
55680,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,204410,Luisa Canziani,PSD,PR,57
55680,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,204486,Mauro Benevides Filho,UNIÃO,CE,57
55680,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,122158,Pedro Paulo,PSD,RJ,57
55692,Frente Parlamentar em Defesa da Oftalmologia - FPOF,220676,Andreia Siqueira,PSB,PA,57
55692,Frente Parlamentar em Defesa da Oftalmologia - FPOF,220701,Delegado Matheus Laiola,UNIÃO,PR,57
55692,Frente Parlamentar em Defesa da Oftalmologia - FPOF,220654,Delegado Paulo Bilynskyj,PL,SP,57
55692,Frente Parlamentar em Defesa da Oftalmologia - FPOF,178929,Diego Garcia,REPUBLICANOS,PR,57
55692,Frente Parlamentar em Defesa da Oftalmologia - FPOF,220674,Dra. Alessandra Haber,PODE,PA,57
55692,Frente Parlamentar em Defesa da Oftalmologia - FPOF,220672,Henderson Pinto,UNIÃO,PA,57
55692,Frente Parlamentar em Defesa da Oftalmologia - FPOF,204550,Júnior Mano,PSB,CE,57
55692,Frente Parlamentar em Defesa da Oftalmologia - FPOF,179000,Marcelo Álvaro Antônio,PL,MG,57
55692,Frente Parlamentar em Defesa da Oftalmologia - FPOF,220591,Meire Serafim,UNIÃO,AC,57
55692,Frente Parlamentar em Defesa da Oftalmologia - FPOF,204449,Nelson Barbudo,PODE,MT,57
55692,Frente Parlamentar em Defesa da Oftalmologia - FPOF,204570,Pastor Gil,PL,MA,57
55692,Frente Parlamentar em Defesa da Oftalmologia - FPOF,74084,Raimundo Santos,PSD,PA,57
55692,Frente Parlamentar em Defesa da Oftalmologia - FPOF,141531,Rodrigo de Castro,UNIÃO,MG,57
55692,Frente Parlamentar em Defesa da Oftalmologia - FPOF,220695,Rogéria Santos,REPUBLICANOS,BA,57
55692,Frente Parlamentar em Defesa da Oftalmologia - FPOF,160635,Ruy Carneiro,PODE,PB,57
55692,Frente Parlamentar em Defesa da Oftalmologia - FPOF,220569,Silvye Alves,UNIÃO,GO,57
55692,Frente Parlamentar em Defesa da Oftalmologia - FPOF,178934,Toninho Wandscheer,PP,PR,57
55701,Frente Parlamentar Brasil - Israel,213762,Carla Dickson,UNIÃO,RN,57
55701,Frente Parlamentar Brasil - Israel,160512,Aureo Ribeiro,SOLIDARIEDADE,RJ,57
55701,Frente Parlamentar Brasil - Israel,204450,Doutor Luizinho,PP,RJ,57
55701,Frente Parlamentar Brasil - Israel,220551,Franciane Bayer,REPUBLICANOS,RS,57
55701,Frente Parlamentar Brasil - Israel,220568,Gustavo Gayer,PL,GO,57
55701,Frente Parlamentar Brasil - Israel,220591,Meire Serafim,UNIÃO,AC,57
55701,Frente Parlamentar Brasil - Israel,204524,Pinheirinho,PP,MG,57
55700,Frente Parlamentar Mista pela Integração Sul-Americana,220638,Antonio Carlos Rodrigues,PL,SP,57
55700,Frente Parlamentar Mista pela Integração Sul-Americana,98148,Cobalchini,MDB,SC,57
55700,Frente Parlamentar Mista pela Integração Sul-Americana,220642,Delegado Bruno Lima,PODE,SP,57
55700,Frente Parlamentar Mista pela Integração Sul-Americana,220686,Duarte Jr.,AVANTE,MA,57
