id_deputado,nome_deputado,uf,total_frentes
220648,Marangoni,SP,92
98057,Lafayette de Andrada,MG,91
141555,Vinicius Carvalho,SP,87
178993,Carlos Henrique Gaguim,TO,87
73579,Alberto Fraga,DF,85
74084,Raimundo Santos,PA,79
160598,Flávia Morais,GO,78
150418,Márcio Marinho,BA,78
74856,Laura Carneiro,RJ,77
220656,Fernanda Pessoa,CE,76
153423,Renilce Nicodemos,PA,76
220618,Sargento Portugal,RJ,75
178947,Sóstenes Cavalcante,RJ,75
74253,Julio Lopes,RJ,75
220533,Prof. Reginaldo Veras,DF,74
220563,Icaro de Valmir,SE,74
178997,Moses Rodrigues,CE,74
220566,Lêda Borges,GO,74
161440,Pezenti,SC,73
69871,Bacelar,BA,72
178857,Jorge Solla,BA,71
220529,Gilson Daniel,ES,71
160517,Paulo Folletto,ES,70
220574,Cabo Gilberto Silva,PB,70
73486,Pompeo de Mattos,RS,70
220588,Roberto Duarte,AC,70
74044,Wilson Santiago,PB,69
141408,Cleber Verde,MA,69
220610,Dr. Fernando Máximo,RO,69
220534,Fred Linhares,DF,68
220691,Diego Coronel,BA,68
121948,Adriano do Baldy,GO,68
178934,Toninho Wandscheer,PR,67
204491,Gilberto Abramo,MG,67
220625,Delegada Ione,MG,67
136811,Afonso Hamm,RS,67
178954,Lucio Mosquini,RO,67
220543,Ricardo Ayres,TO,67
178992,Vitor Lippi,SP,67
220591,Meire Serafim,AC,66
220672,Henderson Pinto,PA,66
220558,Zé Trovão,SC,66
220592,Zezinho Barbary,AC,66
178873,Helder Salomão,ES,65
220697,Jadyel Alencar,PI,65
204360,Silvia Cristina,RO,65
220646,Felipe Becari,SP,64
220630,Pedro Aihara,MG,64
74156,Leonardo Monteiro,MG,64
62881,Danilo Forte,CE,64
74060,Daniel Almeida,BA,64
204412,Dr. Zacharias Calil,GO,63
204410,Luisa Canziani,PR,63
98148,Cobalchini,SC,63
137070,Vicentinho Júnior,TO,63
204572,Capitão Alberto Neto,AM,62
220608,Cristiane Lopes,RO,62
204501,Alencar Santana,SP,62
178896,Newton Cardoso Jr,MG,61
204560,Adolfo Viana,BA,61
220612,Bebeto,RJ,61
220540,Duda Ramos,RR,61
204426,Carlos Veras,PE,61
220573,Dorinaldo Malafaia,AP,61
220611,General Pazuello,RJ,60
220605,Bandeira de Mello,RJ,60
74398,Maria do Rosário,RS,60
220676,Andreia Siqueira,PA,60
220682,Tadeu Veneri,PR,59
220538,Albuquerque,RR,59
133439,André Figueiredo,CE,59
220687,Márcio Honaiser,MA,59
220662,Lucas Ramos,PE,59
204567,Raimundo Costa,BA,58
220571,Daniel Agrobom,GO,58
204536,Kim Kataguiri,SP,58
73441,Celso Russomanno,SP,58
123756,Antônia Lúcia,AC,58
66828,Fausto Pinato,SP,58
204550,Júnior Mano,CE,58
139285,Lídice da Mata,BA,57
204480,Rogério Correia,MG,57
178989,Renata Abreu,SP,57
204495,Airton Faleiro,PA,57
104552,Socorro Neri,AC,57
220702,Geraldo Mendes,PR,57
160629,Romero Rodrigues,PB,56
160758,Domingos Sávio,MG,56
188097,Merlong Solano,PI,56
160575,Erika Kokay,DF,56
220553,Denise Pessôa,RS,56
160604,Pedro Uczai,SC,56
74160,Patrus Ananias,MG,56
220539,Defensor Stélio Dener,RR,56
220542,Alexandre Guimarães,TO,56
220564,Yandra Moura,SE,56
224333,Welter,PR,55
220554,Alexandre Lindenmeyer,RS,55
220595,Coronel Fernanda,MT,55
220704,Carol Dartora,PR,55
204455,Luiz Lima,RJ,55
122974,Pedro Lucas Fernandes,MA,55
178931,Luciano Ducci,PR,55
74376,Vander Loubet,MS,55
204388,Bibo Nunes,RS,55
178887,Rubens Pereira Júnior,MA,55
74057,Alice Portugal,BA,54
204479,Nicoletti,RR,54
178843,Marx Beltrão,AL,54
80815,Leo Prates,BA,54
204406,Pedro Westphalen,RS,53
204559,Zé Neto,BA,53
178929,Diego Garcia,PR,52
204472,José Medeiros,MT,52
204504,Cezinha de Madureira,SP,52
210989,Bruno Farias,MG,52
160666,Félix Mendonça Júnior,BA,52
157130,Túlio Gadêlha,PE,52
204404,Lucas Redecker,RS,51
204528,Adriana Ventura,SP,51
74374,Geraldo Resende,MS,51
74041,Luiz Couto,PB,51
221148,Alfredinho,SP,51
74858,Lindbergh Farias,RJ,51
204473,General Girão,RN,51
141487,Luiz Fernando Faria,MG,51
220683,Beto Richa,PR,50
178986,Nilto Tatto,SP,50
220686,Duarte Jr.,MA,50
220589,Eduardo Velloso,AC,50
220599,Marcelo Crivella,RJ,50
178871,Evair Vieira de Melo,ES,50
165470,Rodrigo Valadares,SE,50
204423,André Ferreira,PE,50
