id_deputado,parlamentar,partido,frente_A,frente_B
220554,Alexandre Lindenmeyer,PT,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
220595,Coronel Fernanda,PL,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
74374,Geraldo Resende,PSDB,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
204536,Kim Kataguiri,MISSÃO,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
204410,Luisa Canziani,PSD,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
204486,Mauro Benevides Filho,UNIÃO,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
122158,Pedro Paulo,PSD,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
74057,Alice Portugal,PCdoB,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
220574,Cabo Gilberto Silva,PL,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
162067,Kiko Celeguim,PT,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
220609,Maurício Carvalho,UNIÃO,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
153423,Renilce Nicodemos,MDB,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
160629,Romero Rodrigues,PODE,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
220560,Thiago de Joaldo,REPUBLICANOS,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
160632,Zé Silva,UNIÃO,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
133439,André Figueiredo,PDT,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
74060,Daniel Almeida,PCdoB,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
220672,Henderson Pinto,UNIÃO,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
