id_deputado,parlamentar,partido,frente_A,frente_B
204495,Airton Faleiro,PT,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar em Defesa das Universidades Públicas
220545,Filipe Martins,PL,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
191923,Flávio Nogueira,PT,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
178857,Jorge Solla,PT,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
220662,Lucas Ramos,PSB,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
204410,Luisa Canziani,PSD,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
73486,Pompeo de Mattos,PDT,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
220613,Roberto Monteiro Pai,PL,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar em Defesa das Universidades Públicas
220618,Sargento Portugal,PODE,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
220571,Daniel Agrobom,PL,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar em Defesa das Universidades Públicas
220646,Felipe Becari,PODE,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
220672,Henderson Pinto,UNIÃO,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar em Defesa das Universidades Públicas
204372,Julio Cesar Ribeiro,REPUBLICANOS,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar em Defesa das Universidades Públicas
98057,Lafayette de Andrada,PL,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar em Defesa das Universidades Públicas
74856,Laura Carneiro,PSD,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
178997,Moses Rodrigues,UNIÃO,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar em Defesa das Universidades Públicas
220554,Alexandre Lindenmeyer,PT,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar em Defesa das Universidades Públicas
74090,Átila Lins,PSD,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
220635,Bruno Ganem,PODE,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
66828,Fausto Pinato,PP,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
