id_orgao,nome_orgao,sigla_orgao,tipo_orgao,apelido_orgao,nome_publicacao
186,COORDENAÇÃO DE COMISSÕES PERMANENTES,CCP,Órgão da Câmara dos Deputados,COORDENAÇÃO DE COMISSÕES PERMANENTES,COORDENAÇÃO DE COMISSÕES PERMANENTES
5469,Segunda Vice-Presidência,2VIPR,Comissão Diretora,2ª Vice-Presidência,2ª Vice-Presidência da Câmara dos Deputados
5582,"Dispõe sobre a inclusão dos cargos que especifica no Plano de Classificação de Cargos, instituído pela Lei nº 5.645, de 10 de dezembro de 1970, altera as Leis nº 10.486, de 4 de julho de 2002, e 5.662, de 21 de junho de 2001, e dá outras providências.",MPV05602,Comissão Medida Provisória,MPV56,MPV56
5601,"Abre crédito extraordinário, no valor de R$208.000.000,00, em favor do Ministério da Integração Nacional e de Minas e Energia, para os fins que especifica.",MPV07202,Comissão Medida Provisória,MPV72,MPV72
111,CONGRESSO NACIONAL,CN,Órgão do Congresso Nacional,CONGRESSO NACIONAL,CN
209,PODER CONCLUSIVO NAS COMISSÕES,PTCOM,Órgão da Câmara dos Deputados,PODER CONCLUSIVO NAS COMISSÕES,PODER CONCLUSIVO NAS COMISSÕES
2004,Comissão de Defesa do Consumidor,CDC,Comissão Permanente,Defesa do Consumidor,Comissão de Defesa do Consumidor
5471,Segunda Secretaria da Câmara dos Deputados,2SECM,Comissão Diretora,2ª Secretaria,2ª Secretaria da Câmara dos Deputados
5551,"Abre crédito extraordinário, em favor da Justiça do Trabalho e do Ministério da Integração Nacional, no vlaor global de R$ 124.210.542,00 para os fins que especifica",MPV03602,Comissão Medida Provisória,MPV36,MPV36
5604,"Altera a Legislação Tributária Federal, e dá outras providências.",MPV07502,Comissão Medida Provisória,MPV75,MPV75
5944,"Abre crédito extraordinário ao Orçamento de Investimento para 2002, em favor de diversas empresas do Grupo PETROBRÁS, no valor total de R$2.259.122.810,00, e reduz o Orçamento de Investimento das mesmas empresas no valor global de R$1.536.449,550,00, para os fins que especifica.",MPV08802,Comissão Medida Provisória,MPV88,MPV88
180,Plenário,PLEN,Plenário Virtual,Plenário,Plenário
2001,"Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural",CAPADR,Comissão Permanente,"Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural","Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural"
5354,Procuradoria Parlamentar da Câmara dos Deputados (Art. 21 do RICD).,PROC1999,Procuradoria Parlamentar,PROCURADORIA PARLAMENTAR,PROCURADORIA PARLAMENTAR
5569,"Dispõe sobre a remuneração dos cargos da Carreira de Procurador da Fazenda Nacional, e dá outras providências",MPV04302,Comissão Medida Provisória,MPV43,MPV43
5584,"Exclui da vedação prevista no art. 3º da Lei nº 9.491, de 9 de setembro de 1997, as ações detidas pela União no capital do Banco do Brasil S.A., e dá outras providências.",MPV05802,Comissão Medida Provisória,MPV58,MPV58
5589,"Cria o Programa Diversidade na Universidade, e dá outras providências.",MPV06302,Comissão Medida Provisória,MPV63,MPV63
5594,"Altera as Leis nº 10.209, de 23 de março de 2001, e 10.233, de 5 de junho de 2001, e dá outras providências.",MPV06802,Comissão Medida Provisória,MPV68,MPV68
2008,Comissão de Desenvolvimento Econômico,CDE,Comissão Permanente,Desenvolvimento Econômico,Comissão de Desenvolvimento Econômico
2010,Comissão de Finanças e Tributação,CFT,Comissão Permanente,Finanças e Tributação,Comissão de Finanças e Tributação
5467,Presidência da Câmara dos Deputados,PRESI,Comissão Diretora,Presidência,Presidência da Câmara dos Deputados
5474,Suplência de Secretários da Mesa,SUPLM,Comissão Diretora,Suplência da Mesa,Suplência da Mesa
5554,"Altera a Lei nº 9.615, de 24 de março de 1998, que institui normas gerais sobre desporto e dá outras providências",MPV03902,Comissão Medida Provisória,MPV39,MPV39
5583,"Autoriza a Centrais Elétricas Brasileiras S.A. - ELETROBRÁS e a União a adquirirem ações da Companhia Energética de
Goiás - CELG para efeito de inclusão no Plano Nacional de Desestatização - PND, e dá outras providências.",MPV05702,Comissão Medida Provisória,MPV57,MPV57
5587,"Dispõe sobre a assunção, pela União, de responsabilidades civis perante terceiros no caso de atentados terroristas ou atos de guerra contra aeronaves de empresas aéreas brasileiras.",MPV06102,Comissão Medida Provisória,MPV61,MPV61
5588,"Altera o art. 25 da Lei nº 9.605, de 12 de fevereiro de 1998, que dispõe sobre as sanções penais e administrativas derivadas de condutas e atividades lesivas ao meio ambiente.",MPV06202,Comissão Medida Provisória,MPV62,MPV62
5599,"Dispõe sobre a participação de capital estrangeiro nas empresas jornalísticas e de radiodifusão sonora e de sons e imagens, conforme o § 4º do art. 222 da Constituição, altera os arts. 38 e 64 da Lei nº 4.117, de 27 de agosto de 1962, o § 3º do art. 12 do Decreto-lei nº 236, de 28 de fevereiro de 1967, e dá outras providências",MPV07002,Comissão Medida Provisória,MPV70,MPV70
