cod_evento,evento
150,Sessão Não Deliberativa de Debates
210,Tomada de Depoimento e Deliberação
160,Painel
152,Reunião de Debate
209,Homenagem
130,Seminário
201,Reunião
155,Visita Técnica
185,Reunião de Instalação
204,Sessão Deliberativa
212,"Tom. Depoimento, Aud. Pública e Delib."
112,Reunião Deliberativa
175,Sessão Preparatória - Posse
180,Reunião de Instalação e Eleição
191,Comissão Geral
115,Sessão Não Deliberativa Solene
207,Reunião de Comparecimento de Ministro(a)
196,Diligência
199,Conferência
110,Sessão Deliberativa
195,Outro Evento
197,Sessão de Eleição
120,Audiência Pública
125,Audiência Pública e Deliberação
140,Mesa Redonda
190,Reunião de Eleição
206,Reunião Técnica
208,Evento Técnico
118,Trabalho de Comissões
202,Sessão Solene
203,Sessão de Debates
211,Tomada de Depoimento e Audiência Pública
170,Simpósio
177,Sessão Preparatória - Eleição
198,Palestra
122,Tomada de Depoimento
157,Visita Oficial
200,Ato Solene de Instalação
194,Debate
205,Teste do Painel Eletrônico
