tipo_evento,id_deputado,nome_deputado,presencas_confirmadas,total_eventos_tipo,taxa_presenca_perc
Sessão Preparatória - Eleição,220689,Detinha,1,1,100
Sessão Preparatória - Eleição,221338,Professora Luciene Cavalcante,1,1,100
Sessão Preparatória - Eleição,220669,Lula da Fonte,1,1,100
Sessão Preparatória - Eleição,220674,Dra. Alessandra Haber,1,1,100
Palestra,220620,Rosângela Reis,1,1,100
Sessão Preparatória - Eleição,220619,Delegado Ramagem,1,1,100
Sessão Preparatória - Eleição,204395,Pedro Lupion,1,1,100
Sessão Preparatória - Eleição,74376,Vander Loubet,1,1,100
Sessão Preparatória - Eleição,220671,Dilvanda Faro,1,1,100
Sessão Preparatória - Eleição,220546,Rodolfo Nogueira,1,1,100
Palestra,153423,Renilce Nicodemos,1,1,100
Palestra,204407,Fernanda Melchionna,1,1,100
Palestra,220670,Iza Arruda,1,1,100
Sessão Preparatória - Eleição,178871,Evair Vieira de Melo,1,1,100
Sessão Preparatória - Eleição,220621,Sargento Gonçalves,1,1,100
Sessão Preparatória - Eleição,220558,Zé Trovão,1,1,100
Sessão Preparatória - Eleição,220623,Duda Salabert,1,1,100
Sessão Preparatória - Eleição,220560,Thiago de Joaldo,1,1,100
Sessão Preparatória - Eleição,178895,Misael Varella,1,1,100
Sessão Preparatória - Eleição,220605,Bandeira de Mello,1,1,100
Sessão Preparatória - Eleição,141458,João Carlos Bacelar,1,1,100
Palestra,220564,Yandra Moura,1,1,100
Sessão Preparatória - Eleição,122158,Pedro Paulo,1,1,100
Palestra,74398,Maria do Rosário,1,1,100
Palestra,220640,Juliana Cardoso,1,1,100
Sessão Preparatória - Eleição,204425,Silvio Costa Filho,1,1,100
Sessão Preparatória - Eleição,74848,Jandira Feghali,1,1,100
Palestra,220707,Amanda Gentil,1,1,100
Sessão Preparatória - Eleição,218086,Ely Santos,1,1,100
Sessão Preparatória - Eleição,204450,Doutor Luizinho,1,1,100
Palestra,231911,Lenir de Assis,1,1,100
Sessão Preparatória - Eleição,220641,Rodrigo Gambale,1,1,100
Sessão Preparatória - Eleição,220613,Roberto Monteiro Pai,1,1,100
Sessão Preparatória - Eleição,74467,Damião Feliciano,1,1,100
Sessão Preparatória - Eleição,220647,Mauricio Neves,1,1,100
Palestra,204459,Daniela do Waguinho,1,1,100
Sessão Preparatória - Eleição,178858,Mário Negromonte Jr.,1,1,100
Evento Técnico,220663,Eriberto Medeiros,1,1,100
Sessão Preparatória - Eleição,220543,Ricardo Ayres,1,1,100
Sessão Preparatória - Eleição,88256,Clodoaldo Magalhães,1,1,100
Sessão Preparatória - Eleição,220636,Luiz Marinho,1,1,100
Sessão Preparatória - Eleição,73604,Rui Falcão,1,1,100
Sessão Preparatória - Eleição,74171,Chico Alencar,1,1,100
Sessão Preparatória - Eleição,220544,Antonio Andrade,1,1,100
Palestra,220575,Sonize Barbosa,1,1,100
Sessão Preparatória - Eleição,178992,Vitor Lippi,1,1,100
Sessão Preparatória - Eleição,204496,Celso Sabino,1,1,100
Sessão Preparatória - Eleição,74317,Júlio Cesar,1,1,100
Sessão Preparatória - Eleição,160604,Pedro Uczai,1,1,100
Sessão Preparatória - Eleição,204411,Filipe Barros,1,1,100
Sessão Preparatória - Eleição,204406,Pedro Westphalen,1,1,100
Sessão Preparatória - Eleição,204464,Talíria Petrone,1,1,100
Sessão Preparatória - Eleição,80815,Leo Prates,1,1,100
Palestra,220553,Denise Pessôa,1,1,100
Sessão Preparatória - Eleição,178835,Afonso Motta,1,1,100
Sessão Preparatória - Eleição,220577,Augusto Puppio,1,1,100
Sessão Preparatória - Eleição,74574,Paulo Magalhães,1,1,100
Sessão Preparatória - Eleição,220552,Zucco,1,1,100
