evento,periodo_eleitoral,pre_eleicao
Reunião de Instalação e Eleição,18,31
Reunião Técnica,39,16
Reunião Deliberativa,236,37
Reunião de Eleição,12,7
Audiência Pública,119,7
Sessão Deliberativa,26,22
Sessão Não Deliberativa Solene,38,19
Debate,8,6
Seminário,14,6
Visita Técnica,7,6
Reunião de Comparecimento de Ministro(a),17,0
Audiência Pública e Deliberação,5,3
Mesa Redonda,22,0
Homenagem,1,0
Palestra,1,0
Reunião,3,0
Comissão Geral,1,1
Evento Técnico,1,0
Visita Oficial,1,0
Sessão Preparatória - Eleição,0,1
