id_deputado,partido_deputado,voto_deputado,partido_bloco,voto_partido,nome_frente,seguiu_partido
160538,PT,Sim,null,null,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais,0
141411,PP,Sim,null,null,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais,0
74467,UNIÃO,Sim,null,null,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais,0
66828,UNIÃO,Não,null,null,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais,0
220545,PL,Não,PL,Liberado,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais,0
74270,PODE,Não,null,null,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais,0
220648,PODE,Sim,null,null,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais,0
122158,PSD,Sim,null,null,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais,0
220618,PODE,Sim,null,null,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais,0
224333,PT,Sim,null,null,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais,0
204560,PSDB,Sim,null,null,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira,0
204388,PL,Não,PL,Liberado,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira,0
220595,PL,Não,PL,Liberado,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira,0
74270,PODE,Não,null,null,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira,0
204365,NOVO,Não,NOVO,Não,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira,1
178986,PT,Sim,null,null,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira,0
74084,PSD,Não,null,null,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira,0
220543,REPUBLICANOS,Sim,null,null,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira,0
204374,PL,Não,PL,Liberado,Frente Parlamentar de Acolhimento e Desenvolvimento Integrado,0
220635,PODE,Sim,null,null,Frente Parlamentar de Acolhimento e Desenvolvimento Integrado,0
141398,PT,Sim,null,null,Frente Parlamentar de Acolhimento e Desenvolvimento Integrado,0
74270,PODE,Não,null,null,Frente Parlamentar de Acolhimento e Desenvolvimento Integrado,0
220599,REPUBLICANOS,Sim,null,null,Frente Parlamentar de Acolhimento e Desenvolvimento Integrado,0
150418,REPUBLICANOS,Sim,null,null,Frente Parlamentar de Acolhimento e Desenvolvimento Integrado,0
220685,UNIÃO,Sim,null,null,Frente Parlamentar de Acolhimento e Desenvolvimento Integrado,0
74084,PSD,Não,null,null,Frente Parlamentar de Acolhimento e Desenvolvimento Integrado,0
160665,REPUBLICANOS,Sim,null,null,Frente Parlamentar Mista do Ambiente de Negócios (FPN),0
220683,PSDB,Sim,null,null,Frente Parlamentar Mista do Ambiente de Negócios (FPN),0
213762,PL,Não,PL,Liberado,Frente Parlamentar Mista do Ambiente de Negócios (FPN),0
220608,PODE,Não,null,null,Frente Parlamentar Mista do Ambiente de Negócios (FPN),0
220559,PL,Não,PL,Liberado,Frente Parlamentar Mista do Ambiente de Negócios (FPN),0
141487,UNIÃO,Sim,null,null,Frente Parlamentar Mista do Ambiente de Negócios (FPN),0
156190,NOVO,Não,NOVO,Não,Frente Parlamentar Mista do Ambiente de Negócios (FPN),1
178997,UNIÃO,Sim,null,null,Frente Parlamentar Mista do Ambiente de Negócios (FPN),0
220584,REPUBLICANOS,Sim,null,null,Frente Parlamentar Mista do Ambiente de Negócios (FPN),0
220532,MDB,Não,null,null,Frente Parlamentar Mista do Ambiente de Negócios (FPN),0
220626,UNIÃO,Sim,null,null,Frente Parlamentar Mista do Ambiente de Negócios (FPN),0
153423,MDB,Sim,null,null,Frente Parlamentar Mista do Ambiente de Negócios (FPN),0
141533,PSB,Sim,PSB,Sim,Frente Parlamentar Mista do Ambiente de Negócios (FPN),1
220560,REPUBLICANOS,Sim,null,null,Frente Parlamentar Mista do Ambiente de Negócios (FPN),0
220646,PODE,Sim,null,null,Frente Parlamentar Mista Brasil - Espanha,0
178873,PT,Sim,null,null,Frente Parlamentar Mista Brasil - Espanha,0
178954,PL,Sim,PL,Liberado,Frente Parlamentar Mista Brasil - Espanha,0
204455,NOVO,Não,NOVO,Não,Frente Parlamentar Mista Brasil - Espanha,1
178997,UNIÃO,Sim,null,null,Frente Parlamentar Mista Brasil - Espanha,0
220693,PL,Não,PL,Liberado,Frente Parlamentar Mista Brasil - Espanha,0
204480,PT,Sim,null,null,Frente Parlamentar Mista Brasil - Espanha,0
204534,PSB,Sim,PSB,Sim,Frente Parlamentar Mista Brasil - Espanha,1
220684,PP,Sim,null,null,Frente Parlamentar Mista Brasil - Espanha,0
178992,PSD,Sim,null,null,Frente Parlamentar Mista Brasil - Espanha,0
221148,PT,Sim,null,null,Frente Parlamentar Mista em Defesa da Cannabis Medicinal e do Cânhamo Industrial,0
74090,PSD,Sim,null,null,Frente Parlamentar Mista em Defesa da Cannabis Medicinal e do Cânhamo Industrial,0
220629,PT,Sim,null,null,Frente Parlamentar Mista em Defesa da Cannabis Medicinal e do Cânhamo Industrial,0
178884,MDB,Sim,null,null,Frente Parlamentar Mista em Defesa da Cannabis Medicinal e do Cânhamo Industrial,0
220670,MDB,Sim,null,null,Frente Parlamentar Mista em Defesa da Cannabis Medicinal e do Cânhamo Industrial,0
