id_deputado,id_despesa,categoria,data_referencia,valor_gasto,cnpj_fornecedor,nome_fornecedor,nome_deputado,uf,partido
220618,8044482,COMBUSTÍVEIS E LUBRIFICANTES.,2026-01-27,303.52,59137993000190,AUTO POSTO DE ABASTECIMENTO ANIL LTDA,Sargento Portugal,RJ,PODE
160538,8066971,COMBUSTÍVEIS E LUBRIFICANTES.,2026-03-06,291.95,92599018000412,ABASTECEDORA DE COMBUSTIVEIS PILLON LTDA,Bohn Gass,RS,PT
141411,13A58BF1-57C2-4DB2-BA85-39095FCE6B27,PASSAGEM AÉREA - SIGEPA,2026-02-03,88,,LATAM Airlines Brasil,Dagoberto Nogueira,MS,PP
74467,5C34B690-A851-4909-95FC-9E7B6E52D67F,PASSAGEM AÉREA - SIGEPA,2026-03-12,1494.41,,LATAM Airlines Brasil,Damião Feliciano,PB,UNIÃO
224333,8022965,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",2025-11-28,230,09395255000175,Kuster Hotel LTDA,Welter,PR,PT
74270,B2E6EF56-0023-4323-AF50-9A2206F5BDE7,PASSAGEM AÉREA - SIGEPA,2026-02-24,1824.21,,LATAM Airlines Brasil,Gilberto Nascimento,SP,PSD
122158,859B0499-C15F-4BF1-A2F5-7E135A20DDED,PASSAGEM AÉREA - SIGEPA,2026-03-16,2356.07,,LATAM Airlines Brasil,Pedro Paulo,RJ,PSD
220545,8039684,COMBUSTÍVEIS E LUBRIFICANTES.,2026-01-04,661.2,50749743000137,PETRO PETROLEO 75 COMERCIO DE COMBUSTIVEIS LTDA,Filipe Martins,TO,PL
66828,A51280AF-1421-4DCE-82A7-C89D2306BC42,PASSAGEM AÉREA - SIGEPA,2026-02-23,117,,LATAM Airlines Brasil,Fausto Pinato,SP,PP
220648,8062163,COMBUSTÍVEIS E LUBRIFICANTES.,2026-03-06,250.01,05236122000103,PLANETA REVENDEDORA DE COMBUSTIVEIS,Marangoni,SP,UNIÃO
220618,8038025,COMBUSTÍVEIS E LUBRIFICANTES.,2026-01-09,222.99,59137993000190,AUTO POSTO DE ABASTECIMENTO ANIL LTDA,Sargento Portugal,RJ,PODE
160538,8090005,COMBUSTÍVEIS E LUBRIFICANTES.,2026-04-25,300.05,94856473000562,ABASTECEDORA DE COMBUSTIVEIS FERREIRA LTDA,Bohn Gass,RS,PT
141411,3893CC77-6D36-4593-BF0F-32BC2263962E,PASSAGEM AÉREA - SIGEPA,2026-02-03,3020.04,,LATAM Airlines Brasil,Dagoberto Nogueira,MS,PP
74467,5C34B690-A851-4909-95FC-9E7B6E52D67F,PASSAGEM AÉREA - SIGEPA,2026-03-12,111,,LATAM Airlines Brasil,Damião Feliciano,PB,UNIÃO
224333,8022970,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",2025-11-28,290,09395255000175,Kuster Hotel LTDA,Welter,PR,PT
74270,B2E6EF56-0023-4323-AF50-9A2206F5BDE7,PASSAGEM AÉREA - SIGEPA,2026-02-24,117,,LATAM Airlines Brasil,Gilberto Nascimento,SP,PSD
122158,859B0499-C15F-4BF1-A2F5-7E135A20DDED,PASSAGEM AÉREA - SIGEPA,2026-03-16,-2356.07,,LATAM Airlines Brasil,Pedro Paulo,RJ,PSD
220545,8039700,COMBUSTÍVEIS E LUBRIFICANTES.,2026-01-03,400,50749743000137,PETRO PETROLEO 75 COMERCIO DE COMBUSTIVEIS LTDA,Filipe Martins,TO,PL
66828,CE38E5C4-3C52-435E-86A8-5BAF0851508D,PASSAGEM AÉREA - SIGEPA,2026-02-05,3020.04,,LATAM Airlines Brasil,Fausto Pinato,SP,PP
220648,8087118,COMBUSTÍVEIS E LUBRIFICANTES.,2026-04-23,245.48,07822636000168,PIONEIRO COM. VAREJ. DE DERIVADOS DE PETROLEO LTDA,Marangoni,SP,UNIÃO
220618,8073181,COMBUSTÍVEIS E LUBRIFICANTES.,2026-03-27,179.62,31797578000144,AUTO POSTO CAMINHONEIRO LTDA,Sargento Portugal,RJ,PODE
160538,8089997,COMBUSTÍVEIS E LUBRIFICANTES.,2026-04-18,317,00185858000178,A D TROIAN E FILHOS LTDA,Bohn Gass,RS,PT
141411,5C02230B-052C-4E1C-B432-0690A55A1BDB,PASSAGEM AÉREA - SIGEPA,2026-01-28,1417.22,,LATAM Airlines Brasil,Dagoberto Nogueira,MS,PP
74467,131BCCE2-DB71-4CB9-BCC3-60759B053175,PASSAGEM AÉREA - SIGEPA,2026-03-12,1515.63,,LATAM Airlines Brasil,Damião Feliciano,PB,UNIÃO
224333,8023049,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",2025-11-28,190,10883369000143,IR Johann Hotel Pousada,Welter,PR,PT
74270,6E29F0E4-E678-4367-9E85-FA0C766449C5,PASSAGEM AÉREA - SIGEPA,2026-02-10,2089.52,,LATAM Airlines Brasil,Gilberto Nascimento,SP,PSD
122158,6926A686-CA55-4F43-8854-11F86463C9E9,PASSAGEM AÉREA - SIGEPA,2026-02-09,385.12,,LATAM Airlines Brasil,Pedro Paulo,RJ,PSD
220545,8051687,COMBUSTÍVEIS E LUBRIFICANTES.,2026-02-12,400,50749743000137,PETRO PETROLEO 75 COMERCIO DE COMBUSTIVEIS LTDA,Filipe Martins,TO,PL
66828,2C7E4329-DD31-44D5-A1BC-130077BD8024,PASSAGEM AÉREA - SIGEPA,2026-03-13,1485.97,,Azul Linhas Aéreas,Fausto Pinato,SP,PP
220648,8074928,COMBUSTÍVEIS E LUBRIFICANTES.,2026-03-07,237.45,30866456000108,LARANJAIS COMERCIO DE DERIVADOS DE PETROLEO LTDA,Marangoni,SP,UNIÃO
220618,8082603,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,2026-04-13,1763.5,12132854000100,WMS COMERCIO DE ARTIGOS DE PAPELARIA LTDA,Sargento Portugal,RJ,PODE
160538,8061414,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,2026-03-03,40,05506560000136,NUCLEO DE INFORMACAO E COORDENACAO DO PONTO BR - NIC .BR,Bohn Gass,RS,PT
141411,8063693,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,2026-03-06,9800,36801199000102,RENTAL LOCADORA DE BENS E VEICULOS LTDA,Dagoberto Nogueira,MS,PP
74467,131BCCE2-DB71-4CB9-BCC3-60759B053175,PASSAGEM AÉREA - SIGEPA,2026-03-12,126,,LATAM Airlines Brasil,Damião Feliciano,PB,UNIÃO
224333,8022958,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",2025-11-29,378,34237078000146,Hotel Maestro Francisco Beltrão LTDA,Welter,PR,PT
74270,6E29F0E4-E678-4367-9E85-FA0C766449C5,PASSAGEM AÉREA - SIGEPA,2026-02-10,117,,LATAM Airlines Brasil,Gilberto Nascimento,SP,PSD
122158,739131B4-72B8-493D-8FC8-EFD87A864AC4,PASSAGEM AÉREA - SIGEPA,2026-02-05,576.97,,LATAM Airlines Brasil,Pedro Paulo,RJ,PSD
220545,8041668,COMBUSTÍVEIS E LUBRIFICANTES.,2026-01-26,100,33404914000177,PETRO - POSTOS DE ABASTECIMENTO LTDA,Filipe Martins,TO,PL
66828,D0EAF3F1-DD65-4227-8405-02AD02CE5A48,PASSAGEM AÉREA - SIGEPA,2026-03-27,1485.97,,Azul Linhas Aéreas,Fausto Pinato,SP,PP
220648,8062165,COMBUSTÍVEIS E LUBRIFICANTES.,2026-03-07,224.99,30866456000108,LARANJAIS COMERCIO DE DERIVADOS DE PETROLEO LTDA,Marangoni,SP,UNIÃO
220618,8059824,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,2026-03-03,832.4,12132854000100,WMS COMERCIO DE ARTIGOS DE PAPELARIA LTDA,Sargento Portugal,RJ,PODE
160538,8076810,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,2026-03-20,5633.9,92691336000166,"CREDITO REAL, IMO. E CONDOMÍNIOS SA",Bohn Gass,RS,PT
141411,8047290,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,2026-02-03,9800,36801199000102,RENTAL LOCADORA DE BENS E VEICULOS LTDA,Dagoberto Nogueira,MS,PP
74467,49FB4586-33B0-4969-BA35-7524AF81CFFF,PASSAGEM AÉREA - SIGEPA,2026-02-06,2409.07,,LATAM Airlines Brasil,Damião Feliciano,PB,UNIÃO
224333,8022974,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",2025-11-29,390,34237078000146,Hotel Maestro Francisco Beltrão LTDA,Welter,PR,PT
74270,6E29F0E4-E678-4367-9E85-FA0C766449C5,PASSAGEM AÉREA - SIGEPA,2026-02-10,-117,,LATAM Airlines Brasil,Gilberto Nascimento,SP,PSD
122158,C3D3B852-72AF-40C5-87E2-AC750E9EBFE2,PASSAGEM AÉREA - SIGEPA,2026-02-05,2333.41,,LATAM Airlines Brasil,Pedro Paulo,RJ,PSD
220545,8041675,COMBUSTÍVEIS E LUBRIFICANTES.,2026-01-12,200,97486534000292,MCM COMERCIO DE DERIVADOS DE PETROLEO LTDA,Filipe Martins,TO,PL
66828,8071714,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",2026-03-17,1884.09,04088208000165,SEM PARAR INSTITUIÇÃO DE PAGAMENTO LTDA.,Fausto Pinato,SP,PP
220648,8062164,COMBUSTÍVEIS E LUBRIFICANTES.,2026-03-07,210.04,25629809000612,IRMAOS ALCANTARA & CIA LTDA,Marangoni,SP,UNIÃO
220618,8050763,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,2026-02-10,944.9,12132854000100,WMS COMERCIO DE ARTIGOS DE PAPELARIA LTDA,Sargento Portugal,RJ,PODE
160538,8061237,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,2026-02-20,5642.51,92691336000166,"CREDITO REAL, IMO. E CONDOMÍNIOS SA",Bohn Gass,RS,PT
141411,8041347,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,2026-01-02,15775,36801199000102,RENTAL LOCADORA DE BENS E VEICULOS LTDA,Dagoberto Nogueira,MS,PP
74467,49FB4586-33B0-4969-BA35-7524AF81CFFF,PASSAGEM AÉREA - SIGEPA,2026-02-06,88,,LATAM Airlines Brasil,Damião Feliciano,PB,UNIÃO
224333,8022953,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",2025-11-13,217.5,44194621000129,Hotel e Evenos Caianas Ltda,Welter,PR,PT
74270,6E29F0E4-E678-4367-9E85-FA0C766449C5,PASSAGEM AÉREA - SIGEPA,2026-02-10,-2089.52,,LATAM Airlines Brasil,Gilberto Nascimento,SP,PSD
122158,CAC424F7-5C23-4652-A4D7-C43F736283AF,PASSAGEM AÉREA - SIGEPA,2026-02-03,2681.31,,LATAM Airlines Brasil,Pedro Paulo,RJ,PSD
220545,8038475,COMBUSTÍVEIS E LUBRIFICANTES.,2026-01-03,300,97486534000292,MCM COMERCIO DE DERIVADOS DE PETROLEO LTDA,Filipe Martins,TO,PL
66828,8056793,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",2026-02-17,2566.27,04088208000165,SEM PARAR INSTITUIÇÃO DE PAGAMENTO LTDA.,Fausto Pinato,SP,PP
220648,8053754,COMBUSTÍVEIS E LUBRIFICANTES.,2026-02-12,391.49,05454390000193,"GOES COMBUSTIVEIS, LUBRIFICANTES E GLP LTDA",Marangoni,SP,UNIÃO
220618,8075573,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,2026-04-01,790,44318393000151,THM MAQUINAS SEMIAUTOMATICAS LTDA,Sargento Portugal,RJ,PODE
160538,8047406,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,2026-01-23,5160.24,92691336000166,"CREDITO REAL, IMO. E CONDOMÍNIOS SA",Bohn Gass,RS,PT
141411,8084956,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",2026-04-18,359.29,58815791000198,HRV ADMINISTRACAO DE NEGOCIOS LTDA.,Dagoberto Nogueira,MS,PP
74467,B471874A-339C-4621-A497-B4142DE9D862,PASSAGEM AÉREA - SIGEPA,2026-01-29,1942.61,,LATAM Airlines Brasil,Damião Feliciano,PB,UNIÃO
224333,8022948,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",2025-11-13,217.5,44194621000129,Hotel e Evenos Caianas Ltda,Welter,PR,PT
74270,0C6F06AC-7D16-4F06-94BC-34A2B1AF94DA,PASSAGEM AÉREA - SIGEPA,2026-03-10,-33.64,,Gol Linhas Aéreas,Gilberto Nascimento,SP,PSD
122158,F50C4BF6-FA14-438D-905C-1055DC70DE27,PASSAGEM AÉREA - SIGEPA,2026-02-02,1057.28,,LATAM Airlines Brasil,Pedro Paulo,RJ,PSD
220545,8049947,COMBUSTÍVEIS E LUBRIFICANTES.,2026-02-09,100,97486534000101,MCM COMERCIO DE DERIVADOS DE PETROLEO LTDA,Filipe Martins,TO,PL
66828,8041212,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",2026-01-17,1864.07,04088208000165,SEM PARAR INSTITUIÇÃO DE PAGAMENTO LTDA.,Fausto Pinato,SP,PP
220648,8053752,COMBUSTÍVEIS E LUBRIFICANTES.,2026-02-23,157.57,00097626000400,BRASAL COMBUSTIVEIS LTDA,Marangoni,SP,UNIÃO
220618,8059016,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,2026-03-02,790,44318393000151,THM MAQUINAS SEMIAUTOMATICAS LTDA,Sargento Portugal,RJ,PODE
160538,8064386,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,2026-02-05,254.9,08467115000100,CEEE - Companhia Estadual de Distribuição de Energia Elétrica,Bohn Gass,RS,PT
141411,8084945,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",2026-04-18,469.57,58815791000198,HRV ADMINISTRACAO DE NEGOCIOS LTDA.,Dagoberto Nogueira,MS,PP
74467,B471874A-339C-4621-A497-B4142DE9D862,PASSAGEM AÉREA - SIGEPA,2026-01-29,148,,LATAM Airlines Brasil,Damião Feliciano,PB,UNIÃO
224333,8035437,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",2025-12-29,185.6,42035274000166,"ARCA""S HOTEL LTDA",Welter,PR,PT
74270,0C6F06AC-7D16-4F06-94BC-34A2B1AF94DA,PASSAGEM AÉREA - SIGEPA,2026-03-10,-75,,Gol Linhas Aéreas,Gilberto Nascimento,SP,PSD
122158,0DB991E1-41ED-4CCC-BA32-FA44C7EC076F,PASSAGEM AÉREA - SIGEPA,2026-02-01,1726.69,,LATAM Airlines Brasil,Pedro Paulo,RJ,PSD
220545,8041684,COMBUSTÍVEIS E LUBRIFICANTES.,2026-01-21,200,97486534000101,MCM COMERCIO DE DERIVADOS DE PETROLEO LTDA,Filipe Martins,TO,PL
66828,8066793,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,2026-02-28,3850,07319323000191,PANTANAL VEÍCULOS LTDA,Fausto Pinato,SP,PP
220648,8049506,COMBUSTÍVEIS E LUBRIFICANTES.,2026-02-10,225.01,00097626000400,BRASAL COMBUSTIVEIS LTDA,Marangoni,SP,UNIÃO
220618,8044293,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,2026-02-02,790,44318393000151,THM MAQUINAS SEMIAUTOMATICAS LTDA,Sargento Portugal,RJ,PODE
160538,8047428,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,2026-01-07,383.07,08467115000100,CEEE - Companhia Estadual de Distribuição de Energia Elétrica,Bohn Gass,RS,PT
