nome_deputado,uf,categoria,valor_gasto,z_score
Fausto Pinato,SP,COMBUSTÍVEIS E LUBRIFICANTES.,7599.22,3.8341
Fausto Pinato,SP,COMBUSTÍVEIS E LUBRIFICANTES.,6856.75,3.4122
Fausto Pinato,SP,COMBUSTÍVEIS E LUBRIFICANTES.,6853.44,3.4103
Fausto Pinato,SP,COMBUSTÍVEIS E LUBRIFICANTES.,6779.03,3.368
Filipe Martins,TO,COMBUSTÍVEIS E LUBRIFICANTES.,661.2,3.2611
Marangoni,SP,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,14000,3.0288
Marangoni,SP,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,14000,3.0288
Bohn Gass,RS,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",71.27,3.0163
Welter,PR,COMBUSTÍVEIS E LUBRIFICANTES.,479.2,2.9861
Dagoberto Nogueira,MS,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,227.13,2.9745
Sargento Portugal,RJ,COMBUSTÍVEIS E LUBRIFICANTES.,313,2.8134
Welter,PR,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,12000,2.8067
Gilberto Nascimento,SP,COMBUSTÍVEIS E LUBRIFICANTES.,5694.18,2.7516
Fausto Pinato,SP,TELEFONIA,616,2.6874
Bohn Gass,RS,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",65.94,2.6557
Sargento Portugal,RJ,COMBUSTÍVEIS E LUBRIFICANTES.,303.52,2.5792
Gilberto Nascimento,SP,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,10000,2.5347
Gilberto Nascimento,SP,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,10000,2.5347
Gilberto Nascimento,SP,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,10000,2.5347
Gilberto Nascimento,SP,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,10000,2.5347
Welter,PR,COMBUSTÍVEIS E LUBRIFICANTES.,437.48,2.5047
Bohn Gass,RS,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",63.29,2.4765
Bohn Gass,RS,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",1425,2.4646
Welter,PR,COMBUSTÍVEIS E LUBRIFICANTES.,431.02,2.4301
Welter,PR,COMBUSTÍVEIS E LUBRIFICANTES.,430.9,2.4287
Fausto Pinato,SP,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,22000,2.3114
Pedro Paulo,RJ,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,20176.8,2.2961
Dagoberto Nogueira,MS,COMBUSTÍVEIS E LUBRIFICANTES.,5131.77,2.2688
Pedro Paulo,RJ,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,19764,2.2364
Dagoberto Nogueira,MS,COMBUSTÍVEIS E LUBRIFICANTES.,4919.66,2.1473
Marangoni,SP,COMBUSTÍVEIS E LUBRIFICANTES.,4585.84,2.1218
Pedro Paulo,RJ,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,18631.4,2.0726
Welter,PR,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,123,2.0704
Marangoni,SP,COMBUSTÍVEIS E LUBRIFICANTES.,4463.98,2.0526
Pedro Paulo,RJ,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,18458.4,2.0476
Fausto Pinato,SP,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,20000,1.9779
Gilberto Nascimento,SP,COMBUSTÍVEIS E LUBRIFICANTES.,4322.01,1.9719
Filipe Martins,TO,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,29700,1.961
Damião Feliciano,PB,PASSAGEM AÉREA - SIGEPA,2929.48,1.9597
Damião Feliciano,PB,PASSAGEM AÉREA - SIGEPA,2929.48,1.9597
Bohn Gass,RS,COMBUSTÍVEIS E LUBRIFICANTES.,350.36,1.8937
Filipe Martins,TO,COMBUSTÍVEIS E LUBRIFICANTES.,500.02,1.8914
Filipe Martins,TO,COMBUSTÍVEIS E LUBRIFICANTES.,494.92,1.848
Bohn Gass,RS,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",53.63,1.823
Marangoni,SP,COMBUSTÍVEIS E LUBRIFICANTES.,4055.42,1.8204
Dagoberto Nogueira,MS,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,6071.01,1.8101
Dagoberto Nogueira,MS,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,6071.01,1.8101
Dagoberto Nogueira,MS,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,6069.14,1.8093
Dagoberto Nogueira,MS,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,6069.01,1.8092
Bohn Gass,RS,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",53.26,1.798
Marangoni,SP,COMBUSTÍVEIS E LUBRIFICANTES.,4000,1.7889
Marangoni,SP,COMBUSTÍVEIS E LUBRIFICANTES.,4000,1.7889
Welter,PR,COMBUSTÍVEIS E LUBRIFICANTES.,375.35,1.7877
Bohn Gass,RS,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",52.65,1.7567
Gilberto Nascimento,SP,COMBUSTÍVEIS E LUBRIFICANTES.,3920.51,1.7438
Pedro Paulo,RJ,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,16291,1.7341
Pedro Paulo,RJ,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,16291,1.7341
Damião Feliciano,PB,PASSAGEM AÉREA - SIGEPA,2711.41,1.7335
Gilberto Nascimento,SP,COMBUSTÍVEIS E LUBRIFICANTES.,3836.21,1.6959
Damião Feliciano,PB,PASSAGEM AÉREA - SIGEPA,2674.06,1.6948
Filipe Martins,TO,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,6000,1.621
Filipe Martins,TO,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,6000,1.621
Filipe Martins,TO,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,6000,1.621
Filipe Martins,TO,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,6000,1.621
Filipe Martins,TO,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,6000,1.621
Welter,PR,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,2388.9,1.6117
Welter,PR,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,2388.9,1.6117
Marangoni,SP,PASSAGEM AÉREA - SIGEPA,3020.81,1.5981
Fausto Pinato,SP,PASSAGEM AÉREA - SIGEPA,3020.04,1.5976
Marangoni,SP,PASSAGEM AÉREA - SIGEPA,3020.04,1.5976
Marangoni,SP,PASSAGEM AÉREA - SIGEPA,3020.04,1.5976
Marangoni,SP,PASSAGEM AÉREA - SIGEPA,2982.13,1.5716
Welter,PR,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",390,1.5643
Welter,PR,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,7557.14,1.475
Welter,PR,COMBUSTÍVEIS E LUBRIFICANTES.,347.02,1.4608
Damião Feliciano,PB,PASSAGEM AÉREA - SIGEPA,2446.42,1.4587
Damião Feliciano,PB,PASSAGEM AÉREA - SIGEPA,2409.07,1.42
Welter,PR,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",378,1.4173
Welter,PR,COMBUSTÍVEIS E LUBRIFICANTES.,342,1.4029
Dagoberto Nogueira,MS,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,5101.55,1.393
Filipe Martins,TO,COMBUSTÍVEIS E LUBRIFICANTES.,440.74,1.3876
Dagoberto Nogueira,MS,PASSAGEM AÉREA - SIGEPA,3020.04,1.3511
Dagoberto Nogueira,MS,PASSAGEM AÉREA - SIGEPA,3011.74,1.3467
Marangoni,SP,PASSAGEM AÉREA - SIGEPA,2648.11,1.3429
Dagoberto Nogueira,MS,COMBUSTÍVEIS E LUBRIFICANTES.,3474,1.319
Bohn Gass,RS,COMBUSTÍVEIS E LUBRIFICANTES.,331.3,1.3096
Damião Feliciano,PB,PASSAGEM AÉREA - SIGEPA,2291.57,1.2981
Welter,PR,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,98,1.2948
Damião Feliciano,PB,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,20000,1.291
Damião Feliciano,PB,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,20000,1.291
Pedro Paulo,RJ,PASSAGEM AÉREA - SIGEPA,3038.82,1.2752
Damião Feliciano,PB,PASSAGEM AÉREA - SIGEPA,2263.9,1.2694
Pedro Paulo,RJ,PASSAGEM AÉREA - SIGEPA,3020.04,1.2626
Pedro Paulo,RJ,PASSAGEM AÉREA - SIGEPA,3016.32,1.2601
Pedro Paulo,RJ,PASSAGEM AÉREA - SIGEPA,3011.74,1.257
Fausto Pinato,SP,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",2566.27,1.2533
Pedro Paulo,RJ,PASSAGEM AÉREA - SIGEPA,2995.05,1.2458
Dagoberto Nogueira,MS,PASSAGEM AÉREA - SIGEPA,2803.77,1.2351
Pedro Paulo,RJ,PASSAGEM AÉREA - SIGEPA,2952.25,1.217
Pedro Paulo,RJ,PASSAGEM AÉREA - SIGEPA,2951.58,1.2166
Sargento Portugal,RJ,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,10280,1.2149
Damião Feliciano,PB,PASSAGEM AÉREA - SIGEPA,2207.49,1.2109
Filipe Martins,TO,COMBUSTÍVEIS E LUBRIFICANTES.,419.34,1.2057
Bohn Gass,RS,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",44.44,1.2013
Damião Feliciano,PB,PASSAGEM AÉREA - SIGEPA,2186.27,1.1889
Welter,PR,COMBUSTÍVEIS E LUBRIFICANTES.,319.72,1.1458
Pedro Paulo,RJ,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,10000,1.1273
Pedro Paulo,RJ,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,10000,1.1273
Filipe Martins,TO,COMBUSTÍVEIS E LUBRIFICANTES.,410.11,1.1273
Pedro Paulo,RJ,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,10000,1.1273
Pedro Paulo,RJ,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,10000,1.1273
Filipe Martins,TO,COMBUSTÍVEIS E LUBRIFICANTES.,410.08,1.1271
Damião Feliciano,PB,PASSAGEM AÉREA - SIGEPA,2112.41,1.1123
Damião Feliciano,PB,PASSAGEM AÉREA - SIGEPA,2112.41,1.1123
Gilberto Nascimento,SP,PASSAGEM AÉREA - SIGEPA,2259.39,1.0767
Marangoni,SP,PASSAGEM AÉREA - SIGEPA,2257.18,1.0752
Dagoberto Nogueira,MS,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",469.57,1.0675
Filipe Martins,TO,COMBUSTÍVEIS E LUBRIFICANTES.,400,1.0414
Filipe Martins,TO,COMBUSTÍVEIS E LUBRIFICANTES.,400,1.0414
Pedro Paulo,RJ,PASSAGEM AÉREA - SIGEPA,2681.31,1.0349
Fausto Pinato,SP,PASSAGEM AÉREA - SIGEPA,2186.27,1.0267
Pedro Paulo,RJ,PASSAGEM AÉREA - SIGEPA,2652.78,1.0157
Welter,PR,COMBUSTÍVEIS E LUBRIFICANTES.,306.78,0.9965
