ano,mes,partido,total_gasto_partido,ranking
2025,11,PP,69751.98,1
2025,11,PSD,49100.63999999999,2
2025,11,PT,45095.79000000001,3
2025,11,UNIÃO,40377.97,4
2025,11,PL,37298.64,5
2025,11,PODE,35483.84,6
2025,12,UNIÃO,107419.88,1
2025,12,PT,60127.53000000003,2
2025,12,PSD,45981.799999999996,3
2025,12,PP,43541.61,4
2025,12,PODE,40203.79000000001,5
2025,12,PL,34475.759999999995,6
2026,1,PP,84220.57000000002,1
2026,1,PSD,71465.76999999999,2
2026,1,UNIÃO,54423.060000000005,3
2026,1,PL,37912.509999999995,4
2026,1,PT,13386.31,5
2026,1,PODE,4757.48,6
2026,2,PP,112869.66,1
2026,2,PSD,89369.2,2
2026,2,UNIÃO,51968.75,3
2026,2,PL,11154.02,4
2026,2,PODE,9154.220000000001,5
2026,2,PT,5897.41,6
2026,3,PSD,80595.56999999999,1
2026,3,PP,74734.57,2
2026,3,UNIÃO,54322.78,3
2026,3,PT,16880.269999999997,4
2026,3,PL,7769.9,5
2026,3,PODE,5371.4400000000005,6
2026,4,PSD,78139.9,1
2026,4,PP,46316.91,2
2026,4,UNIÃO,36902.759999999995,3
2026,4,PL,8704.19,4
2026,4,PODE,6014.68,5
2026,4,PT,617.05,6
