id_deputado,nome_deputado,partido,uf,total_sessoes,presencas_reais,score_engajamento
220545,Filipe Martins,PL,TO,3,3,10
204388,Bibo Nunes,PL,RS,3,3,10
160600,Arthur Oliveira Maia,UNIÃO,BA,3,3,10
153423,Renilce Nicodemos,MDB,PA,3,3,10
220568,Gustavo Gayer,PL,GO,3,3,10
220626,Rafael Simoes,UNIÃO,MG,3,3,10
141518,Paulinho da Força,SOLIDARIEDADE,SP,3,3,10
178997,Moses Rodrigues,UNIÃO,CE,3,3,10
220670,Iza Arruda,MDB,PE,3,3,10
220592,Zezinho Barbary,PP,AC,3,3,10
220638,Antonio Carlos Rodrigues,PL,SP,3,3,10
220585,Mersinho Lucena,PSD,PB,3,3,10
220604,Marcos Tavares,PDT,RJ,3,3,10
178986,Nilto Tatto,PT,SP,3,3,10
74383,Giacobo,PSD,PR,3,3,10
91228,Waldemar Oliveira,AVANTE,PE,3,3,10
104552,Socorro Neri,PP,AC,3,3,10
204358,Beto Pereira,REPUBLICANOS,MS,3,3,10
204495,Airton Faleiro,PT,PA,3,3,10
204365,Gilson Marques,NOVO,SC,3,3,10
204374,Bia Kicis,PL,DF,3,3,10
220684,Tião Medeiros,PP,PR,3,3,10
178992,Vitor Lippi,PSD,SP,3,3,10
220598,Tarcísio Motta,PSOL,RJ,3,3,10
204517,Zé Vitor,PL,MG,3,3,10
191923,Flávio Nogueira,PT,PI,3,3,10
220537,Helena Lima,PSD,RR,3,3,10
220646,Felipe Becari,PODE,SP,3,3,10
160610,Valmir Assunção,PT,BA,3,3,10
188097,Merlong Solano,PT,PI,3,3,10
220599,Marcelo Crivella,REPUBLICANOS,RJ,3,3,10
220693,Roberta Roma,PL,BA,3,3,10
204560,Adolfo Viana,PSDB,BA,3,3,10
220532,Rafael Prudente,MDB,DF,3,3,10
178873,Helder Salomão,PT,ES,3,3,10
220695,Rogéria Santos,REPUBLICANOS,BA,3,3,10
220635,Bruno Ganem,PODE,SP,3,3,10
233594,Rafael Fera,PODE,RO,3,3,10
220618,Sargento Portugal,PODE,RJ,3,3,10
220560,Thiago de Joaldo,REPUBLICANOS,SE,3,3,10
160665,Augusto Coutinho,REPUBLICANOS,PE,3,2,6.67
74156,Leonardo Monteiro,PT,MG,3,2,6.67
160642,Pastor Eurico,PSDB,PE,3,2,6.67
66828,Fausto Pinato,PP,SP,3,2,6.67
141398,Carlos Zarattini,PT,SP,3,2,6.67
74537,Claudio Cajado,PP,BA,3,2,6.67
220617,Murillo Gouvea,PSDB,RJ,3,2,6.67
220621,Sargento Gonçalves,PL,RN,3,2,6.67
220608,Cristiane Lopes,PODE,RO,3,2,6.67
220658,Luiz Gastão,PSD,CE,3,2,6.67
137070,Vicentinho Júnior,PSDB,TO,3,2,6.67
178975,Baleia Rossi,MDB,SP,3,2,6.67
220648,Marangoni,UNIÃO,SP,3,2,6.67
224333,Welter,PT,PR,3,2,6.67
178947,Sóstenes Cavalcante,PL,RJ,3,2,6.67
220683,Beto Richa,PSDB,PR,3,2,6.67
204534,Tabata Amaral,PSB,SP,3,2,6.67
160538,Bohn Gass,PT,RS,3,2,6.67
150418,Márcio Marinho,REPUBLICANOS,BA,3,2,6.67
213762,Carla Dickson,UNIÃO,RN,3,2,6.67
141487,Luiz Fernando Faria,UNIÃO,MG,3,2,6.67
156190,Marcel van Hattem,NOVO,RS,3,2,6.67
136811,Afonso Hamm,PP,RS,3,2,6.67
74467,Damião Feliciano,UNIÃO,PB,3,2,6.67
122158,Pedro Paulo,PSD,RJ,3,2,6.67
74084,Raimundo Santos,PSD,PA,3,2,6.67
220538,Albuquerque,REPUBLICANOS,RR,3,2,6.67
204410,Luisa Canziani,PSD,PR,3,2,6.67
74270,Gilberto Nascimento,PSD,SP,3,2,6.67
204501,Alencar Santana,PT,SP,3,2,6.67
220543,Ricardo Ayres,REPUBLICANOS,TO,3,2,6.67
204480,Rogério Correia,PT,MG,3,2,6.67
221148,Alfredinho,PT,SP,3,2,6.67
165470,Rodrigo Valadares,PL,SE,3,2,6.67
220662,Lucas Ramos,PSB,PE,3,2,6.67
141533,Rodrigo Rollemberg,PSB,DF,3,2,6.67
74090,Átila Lins,PSD,AM,3,2,6.67
220550,Mauricio Marcon,PL,RS,3,2,6.67
178966,Geovania de Sá,PSDB,SC,3,2,6.67
178857,Jorge Solla,PT,BA,3,2,6.67
141411,Dagoberto Nogueira,PP,MS,3,2,6.67
178954,Lucio Mosquini,PL,RO,3,2,6.67
204455,Luiz Lima,NOVO,RJ,3,2,6.67
204378,Coronel Chrisóstomo,PL,RO,3,2,6.67
220686,Duarte Jr.,AVANTE,MA,3,2,6.67
220629,Dandara,PT,MG,3,2,6.67
178884,Hildo Rocha,MDB,MA,3,2,6.67
220595,Coronel Fernanda,PL,MT,3,1,3.33
220685,Paulo Litro,UNIÃO,PR,3,1,3.33
204489,Robério Monteiro,PSB,CE,3,1,3.33
204528,Adriana Ventura,NOVO,SP,3,1,3.33
220559,Julia Zanatta,PL,SC,3,1,3.33
220584,Murilo Galdino,REPUBLICANOS,PB,3,1,3.33
220563,Icaro de Valmir,REPUBLICANOS,SE,3,1,3.33
204536,Kim Kataguiri,MISSÃO,SP,3,1,3.33
220631,Samuel Viana,UNIÃO,MG,3,1,3.33
220672,Henderson Pinto,UNIÃO,PA,3,1,3.33
204570,Pastor Gil,PL,MA,3,1,3.33
220665,Clarissa Tércio,PP,PE,3,1,3.33
220613,Roberto Monteiro Pai,PL,RJ,3,0,0
226837,Saulo Pedroso,PSD,SP,3,0,0
220566,Lêda Borges,REPUBLICANOS,GO,3,0,0
74856,Laura Carneiro,PSD,RJ,3,0,0
160640,Eros Biondini,PL,MG,3,0,0
204390,Professor Alcides,PSDB,GO,3,0,0
204396,Vermelho,PP,PR,3,0,0
220647,Mauricio Neves,PP,SP,3,0,0
220548,Camila Jara,PT,MS,3,0,0
160556,Padre João,PT,MG,3,0,0
204535,Sâmia Bomfim,PSOL,SP,3,0,0
74044,Wilson Santiago,REPUBLICANOS,PB,3,0,0
180214,Pastor Diniz,UNIÃO,RR,3,0,0
221328,Adilson Barroso,PL,SP,3,0,0
220578,Josenildo,PDT,AP,3,0,0
221338,Professora Luciene Cavalcante,PSOL,SP,3,0,0
220533,Prof. Reginaldo Veras,PV,DF,3,0,0
160632,Zé Silva,UNIÃO,MG,3,0,0
204494,Fred Costa,PRD,MG,3,0,0
178882,André Fufuca,PP,MA,3,0,0
230767,Rodrigo da Zaeli,PL,MT,3,0,0
220530,Messias Donato,UNIÃO,ES,3,0,0
220615,Pastor Henrique Vieira,PSOL,RJ,3,0,0
179001,Márcio Biolchi,MDB,RS,3,0,0
88256,Clodoaldo Magalhães,PV,PE,3,0,0
220572,Marussa Boldrin,REPUBLICANOS,GO,3,0,0
204488,Célio Studart,PSD,CE,3,0,0
204481,Dr. Jaziel,PL,CE,3,0,0
160527,Aguinaldo Ribeiro,PP,PB,3,0,0
74478,Luciano Bivar,MDB,PE,3,0,0
220614,Dr. Daniel Soranz,PSD,RJ,3,0,0
178929,Diego Garcia,REPUBLICANOS,PR,3,0,0
160635,Ruy Carneiro,PODE,PB,3,0,0
204450,Doutor Luizinho,PP,RJ,3,0,0
220551,Franciane Bayer,REPUBLICANOS,RS,3,0,0
220561,Delegada Katarina,PSD,SE,3,0,0
160535,Marcon,PT,RS,3,0,0
74171,Chico Alencar,PSOL,RJ,3,0,0
220645,Erika Hilton,PSOL,SP,3,0,0
73604,Rui Falcão,PT,SP,3,0,0
160591,Vinicius Gurgel,PL,AP,3,0,0
220590,Coronel Ulysses,UNIÃO,AC,3,0,0
220669,Lula da Fonte,PP,PE,3,0,0
204444,Helio Lopes,PL,RJ,3,0,0
160592,Zeca Dirceu,PT,PR,3,0,0
160976,Tiririca,PSD,SP,3,0,0
220655,Mario Frias,PL,SP,3,0,0
220553,Denise Pessôa,PT,RS,3,0,0
220611,General Pazuello,PL,RJ,3,0,0
178908,Delegado Éder Mauro,PL,PA,3,0,0
74574,Paulo Magalhães,PSD,BA,3,0,0
220612,Bebeto,PP,RJ,3,0,0
73768,Dilceu Sperafico,PP,PR,3,0,0
204508,Igor Timo,PSD,MG,3,0,0
227991,Dr Flávio,PL,RJ,3,0,0
160559,Alceu Moreira,MDB,RS,3,0,0
220554,Alexandre Lindenmeyer,PT,RS,3,0,0
220536,Zé Haroldo Cathedral,UNIÃO,RR,3,0,0
178937,Altineu Côrtes,PL,RJ,3,0,0
220656,Fernanda Pessoa,PSD,CE,3,0,0
73778,Luiz Carlos Hauly,PODE,PR,3,0,0
204553,Pastor Sargento Isidório,AVANTE,BA,3,0,0
141516,Paulo Abi-Ackel,PSDB,MG,3,0,0
220544,Antonio Andrade,REPUBLICANOS,TO,3,0,0
220529,Gilson Daniel,PODE,ES,3,0,0
204559,Zé Neto,PT,BA,3,0,0
220696,Ivoneide Caetano,PT,BA,3,0,0
204391,José Nelto,UNIÃO,GO,3,0,0
204457,Juninho do Pneu,PSDB,RJ,3,0,0
204533,Idilvan Alencar,PSB,CE,3,0,0
